"",BBK01.OELK02N,BBK01.OELK02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:19,
2002-01,2.649,
2002-04,2.664,
2002-07,2.661,
2002-10,2.821,
2003-01,2.764,
2003-04,2.808,
2003-07,2.858,
2003-10,2.985,
2004-01,3.000,
2004-04,2.986,
2004-07,2.981,
2004-10,3.202,
2005-01,3.122,
2005-04,3.211,
2005-07,3.283,
2005-10,3.529,
2006-01,3.388,
2006-04,3.479,
2006-07,3.464,
2006-10,3.809,
2007-01,3.751,
2007-04,3.834,
2007-07,3.866,
2007-10,4.147,
2008-01,3.930,
2008-04,3.841,
2008-07,3.808,
2008-10,4.230,
2009-01,4.162,
2009-04,4.502,
2009-07,4.746,
2009-10,5.183,
2010-01,5.148,
2010-04,5.304,
2010-07,5.405,
2010-10,5.665,
2011-01,5.473,
2011-04,5.411,
2011-07,5.638,
2011-10,6.206,
2012-01,6.123,
2012-04,6.429,
2012-07,6.752,
2012-10,7.096,
2013-01,7.109,
2013-04,7.300,
2013-07,7.539,
2013-10,7.949,
2014-01,8.002,
2014-04,8.076,
2014-07,8.336,
