"",BBK01.OEAA08H,BBK01.OEAA08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:45,
2002-01,10.313,
2002-04,10.288,
2002-07,10.214,
2002-10,10.170,
2003-01,10.103,
2003-04,9.931,
2003-07,9.880,
2003-10,10.845,
2004-01,9.612,
2004-04,9.512,
2004-07,9.401,
2004-10,9.443,
2005-01,9.473,
2005-04,9.390,
2005-07,9.184,
2005-10,9.561,
2006-01,9.434,
2006-04,9.347,
2006-07,9.236,
2006-10,9.010,
2007-01,8.805,
2007-04,10.329,
2007-07,10.143,
2007-10,9.720,
2008-01,9.303,
2008-04,9.185,
2008-07,8.915,
2008-10,8.812,
2009-01,8.695,
2009-04,8.471,
2009-07,8.424,
2009-10,8.263,
2010-01,8.137,
2010-04,8.036,
2010-07,7.918,
2010-10,7.732,
2011-01,7.598,
2011-04,7.462,
2011-07,7.370,
2011-10,7.207,
2012-01,7.065,
2012-04,6.787,
2012-07,6.716,
2012-10,6.585,
2013-01,6.396,
2013-04,6.216,
2013-07,6.152,
2013-10,6.043,
2014-01,5.957,
2014-04,5.847,
2014-07,5.647,
