"",BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:34,
1991-01,0.065,
1991-04,-0.044,
1991-07,0.058,
1991-10,-0.022,
1992-01,-0.112,
1992-04,-0.089,
1992-07,-0.112,
1992-10,0.130,
1993-01,-0.210,
1993-04,-0.022,
1993-07,0.050,
1993-10,-0.032,
1994-01,0.207,
1994-04,1.234,
1994-07,-49.475,
1994-10,-29.190,
1995-01,-13.591,
1995-04,-53.998,
1995-07,-5.507,
1995-10,5.651,
1996-01,-2.516,
1996-04,-8.166,
1996-07,-0.824,
1996-10,6.795,
1997-01,-1.205,
1997-04,-9.391,
1997-07,1.074,
1997-10,7.205,
1998-01,3.889,
1998-04,2.022,
1998-07,-1.303,
1998-10,19.849,
1999-01,-0.054,
1999-04,-12.017,
1999-07,-1.038,
1999-10,13.076,
2000-01,-0.161,
2000-04,14.554,
2000-07,-3.438,
2000-10,13.418,
2001-01,0.996,
2001-04,-4.078,
2001-07,-2.490,
2001-10,-0.808,
2002-01,-0.068,
2002-04,-6.801,
2002-07,-0.789,
2002-10,7.647,
2003-01,-1.158,
2003-04,-13.450,
2003-07,-4.144,
2003-10,9.711,
2004-01,0.246,
2004-04,-10.829,
2004-07,-0.510,
2004-10,9.562,
2005-01,2.721,
2005-04,-10.714,
2005-07,-1.622,
2005-10,9.182,
2006-01,-1.029,
2006-04,-2.579,
2006-07,-0.114,
2006-10,0.174,
2007-01,-0.125,
2007-04,-1.384,
2007-07,-0.234,
2007-10,-1.679,
2008-01,-0.631,
2008-04,-10.303,
2008-07,-16.604,
2008-10,-7.556,
2009-01,12.476,
2009-04,3.201,
2009-07,4.049,
2009-10,-0.976,
2010-01,1.066,
2010-04,-0.892,
2010-07,4.616,
2010-10,1.019,
2011-01,2.243,
2011-04,-4.341,
2011-07,-5.223,
2011-10,3.568,
2012-01,2.127,
2012-04,-0.647,
2012-07,-0.035,
2012-10,0.232,
2013-01,0.136,
2013-04,-1.400,
2013-07,-0.095,
2013-10,-0.534,
2014-01,0.607,Provisional value
2014-04,1.364,Provisional value
2014-07,-1.299,Provisional value
2014-10,0.767,Provisional value
