"",BBK01.OEAL03U,BBK01.OEAL03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:12,
2002-01,1.091,
2002-04,1.043,
2002-07,1.024,
2002-10,1.032,
2003-01,1.031,
2003-04,0.993,
2003-07,0.920,
2003-10,0.892,
2004-01,0.887,
2004-04,0.865,
2004-07,0.835,
2004-10,0.883,
2005-01,0.913,
2005-04,0.919,
2005-07,0.900,
2005-10,0.871,
2006-01,0.897,
2006-04,0.888,
2006-07,0.882,
2006-10,0.901,
2007-01,0.992,
2007-04,1.019,
2007-07,1.068,
2007-10,1.153,
2008-01,1.270,
2008-04,1.297,
2008-07,1.348,
2008-10,1.428,
2009-01,1.262,
2009-04,1.173,
2009-07,0.982,
2009-10,0.897,
2010-01,0.741,
2010-04,0.746,
2010-07,0.662,
2010-10,0.617,
2011-01,0.622,
2011-04,0.666,
2011-07,0.681,
2011-10,0.691,
2012-01,0.712,
2012-04,0.692,
2012-07,0.584,
2012-10,0.510,
2013-01,0.483,
2013-04,0.454,
2013-07,0.434,
2013-10,0.430,
2014-01,0.421,
2014-04,0.404,
2014-07,0.378,
