"",BBK01.CELI01,BBK01.CELI01_FLAGS
"",Listed Shares debtor: Total                                            creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:30,
1999-01,11.8,
1999-04,15.6,
1999-07,34.2,
1999-10,14.8,
2000-01,-37.2,
2000-04,37.2,
2000-07,36.5,
2000-10,109.0,
2001-01,-29.1,
2001-04,33.4,
2001-07,20.8,
2001-10,-11.5,
2002-01,-4.8,
2002-04,25.8,
2002-07,11.1,
2002-10,18.5,
2003-01,9.6,
2003-04,-0.7,
2003-07,7.5,
2003-10,-15.7,
2004-01,7.7,
2004-04,39.3,
2004-07,5.2,
2004-10,-17.8,
2005-01,9.5,
2005-04,6.1,
2005-07,-0.5,
2005-10,-1.0,
2006-01,24.8,
2006-04,-3.1,
2006-07,-4.7,
2006-10,17.1,
2007-01,-1.9,
2007-04,2.9,
2007-07,27.8,
2007-10,6.8,
2008-01,-17.2,
2008-04,2.1,
2008-07,5.3,
2008-10,4.7,
2009-01,6.0,
2009-04,2.3,
2009-07,-5.3,
2009-10,-2.5,
2010-01,-0.3,
2010-04,-2.0,
2010-07,3.6,
2010-10,3.8,
2011-01,-1.8,
2011-04,0.3,
2011-07,4.6,
2011-10,-1.1,
2012-01,3.2,
2012-04,-2.5,
2012-07,-0.1,
2012-10,-2.1,
2013-01,4.4,
2013-04,8.2,
2013-07,5.3,
2013-10,3.8,
2014-01,1.5,
2014-04,5.5,
2014-07,2.1,
