"",BBK01.OEYI01U,BBK01.OEYI01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:39,
2002-01,0.148,
2002-04,0.133,
2002-07,0.153,
2002-10,0.154,
2003-01,0.162,
2003-04,0.145,
2003-07,0.130,
2003-10,0.114,
2004-01,0.110,
2004-04,0.092,
2004-07,0.106,
2004-10,0.090,
2005-01,0.082,
2005-04,0.089,
2005-07,0.082,
2005-10,0.102,
2006-01,0.098,
2006-04,0.102,
2006-07,0.087,
2006-10,0.094,
2007-01,0.142,
2007-04,0.098,
2007-07,0.119,
2007-10,0.105,
2008-01,0.114,
2008-04,0.121,
2008-07,0.203,
2008-10,0.397,
2009-01,0.498,
2009-04,0.432,
2009-07,0.450,
2009-10,0.475,
2010-01,0.498,
2010-04,0.579,
2010-07,0.602,
2010-10,0.650,
2011-01,0.621,
2011-04,0.686,
2011-07,0.698,
2011-10,0.702,
2012-01,0.760,
2012-04,0.825,
2012-07,0.838,
2012-10,0.916,
2013-01,1.018,
2013-04,1.134,
2013-07,1.142,
2013-10,1.180,
2014-01,1.202,
2014-04,1.197,
2014-07,1.196,
