"",BBK01.OEXI02S,BBK01.OEXI02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:38,
2002-01,0.592,
2002-04,0.633,
2002-07,0.644,
2002-10,0.702,
2003-01,0.708,
2003-04,0.718,
2003-07,0.747,
2003-10,0.811,
2004-01,0.795,
2004-04,0.842,
2004-07,0.886,
2004-10,0.961,
2005-01,0.947,
2005-04,0.988,
2005-07,1.051,
2005-10,1.100,
2006-01,1.135,
2006-04,1.102,
2006-07,1.086,
2006-10,1.111,
2007-01,1.043,
2007-04,1.049,
2007-07,1.020,
2007-10,1.002,
2008-01,0.908,
2008-04,0.913,
2008-07,0.908,
2008-10,1.195,
2009-01,1.701,
2009-04,1.988,
2009-07,2.157,
2009-10,2.265,
2010-01,2.265,
2010-04,2.438,
2010-07,2.497,
2010-10,2.606,
2011-01,2.462,
2011-04,2.454,
2011-07,2.470,
2011-10,2.126,
2012-01,1.900,
2012-04,1.810,
2012-07,1.876,
2012-10,1.912,
2013-01,1.948,
2013-04,2.064,
2013-07,2.197,
2013-10,2.260,
2014-01,2.159,
2014-04,2.250,
2014-07,2.354,
