"",BBK01.OEAD28M,BBK01.OEAD28M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:17,
2002-01,0.161,
2002-04,0.170,
2002-07,0.157,
2002-10,0.141,
2003-01,0.140,
2003-04,0.154,
2003-07,0.151,
2003-10,0.150,
2004-01,0.147,
2004-04,0.131,
2004-07,0.131,
2004-10,0.137,
2005-01,0.171,
2005-04,0.169,
2005-07,0.167,
2005-10,0.149,
2006-01,0.163,
2006-04,0.166,
2006-07,0.166,
2006-10,0.177,
2007-01,0.178,
2007-04,0.172,
2007-07,0.193,
2007-10,0.243,
2008-01,0.235,
2008-04,0.230,
2008-07,0.224,
2008-10,0.218,
2009-01,0.201,
2009-04,0.212,
2009-07,0.230,
2009-10,0.218,
2010-01,0.195,
2010-04,0.166,
2010-07,0.173,
2010-10,0.169,
2011-01,0.168,
2011-04,0.184,
2011-07,0.186,
2011-10,0.194,
2012-01,0.189,
2012-04,0.202,
2012-07,0.208,
2012-10,0.206,
2013-01,0.197,
2013-04,0.199,
2013-07,0.193,
2013-10,0.191,
2014-01,0.191,
2014-04,0.208,
2014-07,0.198,
