"",BBK01.OEAH88I,BBK01.OEAH88I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:51,
2002-01,0.583,
2002-04,0.519,
2002-07,0.771,
2002-10,0.860,
2003-01,0.595,
2003-04,0.481,
2003-07,0.442,
2003-10,0.548,
2004-01,0.657,
2004-04,0.256,
2004-07,0.365,
2004-10,0.300,
2005-01,0.700,
2005-04,0.375,
2005-07,0.254,
2005-10,0.409,
2006-01,1.229,
2006-04,0.583,
2006-07,0.624,
2006-10,0.651,
2007-01,0.484,
2007-04,0.723,
2007-07,0.710,
2007-10,1.369,
2008-01,0.758,
2008-04,1.138,
2008-07,0.735,
2008-10,0.596,
2009-01,0.993,
2009-04,0.975,
2009-07,1.389,
2009-10,1.893,
2010-01,1.230,
2010-04,1.135,
2010-07,2.312,
2010-10,2.847,
2011-01,1.634,
2011-04,2.706,
2011-07,2.830,
2011-10,3.279,
2012-01,2.860,
2012-04,4.126,
2012-07,2.423,
2012-10,2.078,
2013-01,2.144,
2013-04,2.003,
2013-07,2.107,
2013-10,1.833,
2014-01,2.248,
2014-04,1.858,
2014-07,1.926,
