"",BBK01.CELK03,BBK01.CELK03_FLAGS
"",Other equity                                            debtor: Total            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:25,
1999-01,1.2,
1999-04,1.1,
1999-07,5.6,
1999-10,2.0,
2000-01,0.2,
2000-04,2.2,
2000-07,0.5,
2000-10,5.1,
2001-01,-0.9,
2001-04,1.1,
2001-07,3.2,
2001-10,4.2,
2002-01,-1.7,
2002-04,2.1,
2002-07,11.0,
2002-10,5.9,
2003-01,-2.7,
2003-04,3.2,
2003-07,-3.1,
2003-10,-2.8,
2004-01,-0.8,
2004-04,-0.3,
2004-07,-2.8,
2004-10,0.8,
2005-01,-1.6,
2005-04,4.2,
2005-07,0.4,
2005-10,2.2,
2006-01,2.7,
2006-04,-1.2,
2006-07,0.3,
2006-10,2.5,
2007-01,0.7,
2007-04,0.7,
2007-07,2.8,
2007-10,-0.8,
2008-01,4.5,
2008-04,0.1,
2008-07,1.5,
2008-10,0.5,
2009-01,5.2,
2009-04,-2.3,
2009-07,-0.2,
2009-10,-7.0,
2010-01,-5.8,
2010-04,-2.9,
2010-07,-0.1,
2010-10,-1.5,
2011-01,3.6,
2011-04,-3.2,
2011-07,-0.8,
2011-10,-9.0,
2012-01,1.0,
2012-04,0.0,
2012-07,0.4,
2012-10,13.6,
2013-01,0.8,
2013-04,-1.6,
2013-07,-2.7,
2013-10,-8.6,
2014-01,1.0,
2014-04,1.0,
2014-07,0.1,
