"",BBSF2.M.1.S.I0122.AKT01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.AKT01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net asset value / Domestic credit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:03,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,755,
1993-05,759,
1993-06,790,
1993-07,838,
1993-08,874,
1993-09,883,
1993-10,966,
1993-11,986,
1993-12,1005,
1994-01,1053,
1994-02,1031,
1994-03,1035,
1994-04,1087,
1994-05,1025,
1994-06,1008,
1994-07,1055,
1994-08,1054,
1994-09,1052,
1994-10,1059,
1994-11,1082,
1994-12,1074,
1995-01,1077,
1995-02,1083,
1995-03,1080,
1995-04,1093,
1995-05,1121,
1995-06,1120,
1995-07,1142,
1995-08,1157,
1995-09,1152,
1995-10,1147,
1995-11,1187,
1995-12,1263,
1996-01,1301,
1996-02,1288,
1996-03,1347,
1996-04,1357,
1996-05,1367,
1996-06,1376,
1996-07,1367,
1996-08,1389,
1996-09,1423,
1996-10,1433,
1996-11,1484,
1996-12,1563,
1997-01,1706,
1997-02,1881,
1997-03,1917,
1997-04,1945,
1997-05,2002,
1997-06,2261,
1997-07,2424,
1997-08,2362,
1997-09,2532,
1997-10,2616,
1997-11,2828,
1997-12,3078,
1998-01,3240,
1998-02,3352,
1998-03,3612,
1998-04,3851,
1998-05,4130,
1998-06,4338,
1998-07,4494,
1998-08,4372,
1998-09,4364,
1998-10,4413,
1998-11,4614,
1998-12,4621,
1999-01,4727,
1999-02,4749,
1999-03,4748,
1999-04,5098,
1999-05,5055,
1999-06,5044,
1999-07,4985,
1999-08,5144,
1999-09,5097,
1999-10,4881,
1999-11,5087,
1999-12,5347,
2000-01,5277,
2000-02,5816,
2000-03,5944,
2000-04,5961,
2000-05,6720,
2000-06,6202,
2000-07,6357,
2000-08,6565,
2000-09,6295,
2000-10,6444,
2000-11,6298,
2000-12,6307,
2001-01,6352,
2001-02,6042,
2001-03,5841,
2001-04,6106,
2001-05,6022,
2001-06,5931,
2001-07,5865,
2001-08,5549,
2001-09,5099,
2001-10,5179,
2001-11,5355,
2001-12,5440,
2002-01,5307,
2002-02,5159,
2002-03,4823,
2002-04,4623,
2002-05,4556,
2002-06,4300,
2002-07,4150,
2002-08,4238,
2002-09,3980,
2002-10,4126,
2002-11,4218,
2002-12,3975,
2003-01,3919,
2003-02,3800,
2003-03,3730,
2003-04,3794,
2003-05,3581,
2003-06,3609,
2003-07,3559,
2003-08,3595,
2003-09,3581,
2003-10,3616,
2003-11,3599,
2003-12,3782,
2004-01,2991,
2004-02,3116,
2004-03,3167,
2004-04,3192,
2004-05,3343,
2004-06,2895,
2004-07,3103,
2004-08,3129,
2004-09,2907,
2004-10,2907,
2004-11,2952,
2004-12,3028,
2005-01,3046,
2005-02,3075,
2005-03,3034,
2005-04,3108,
2005-05,3213,
2005-06,3438,
2005-07,3552,
2005-08,3334,
2005-09,3388,
2005-10,3390,
2005-11,3695,
2005-12,3762,
2006-01,4983,
2006-02,4982,
2006-03,5344,
2006-04,5361,
2006-05,5733,
2006-06,5602,
2006-07,5666,
2006-08,5730,
2006-09,5385,
2006-10,5771,
2006-11,5944,
2006-12,5751,
2007-01,5810,
2007-02,5765,
2007-03,6189,
2007-04,6198,
2007-05,6407,
2007-06,6517,
2007-07,6407,
2007-08,6372,
2007-09,6338,
2007-10,6283,
2007-11,6179,
2007-12,6000,
2008-01,5860,
2008-02,5864,
2008-03,5774,
2008-04,5739,
2008-05,5620,
2008-06,5504,
2008-07,5506,
2008-08,5577,
2008-09,5385,
2008-10,7139,
2008-11,6906,
2008-12,4580,
2009-01,4474,
2009-02,4007,
2009-03,3917,
2009-04,3823,
2009-05,3580,
2009-06,3482,
2009-07,3192,
2009-08,2668,
2009-09,2959,
2009-10,2829,
2009-11,2832,
2009-12,2619,
2010-01,2623,
2010-02,2665,
2010-03,2900,
2010-04,2899,
2010-05,2873,
2010-06,2868,
2010-07,2892,
2010-08,2968,
2010-09,3010,
2010-10,2985,
2010-11,2767,
2010-12,2777,
2011-01,2802,
2011-02,2827,
2011-03,2758,
2011-04,2760,
2011-05,2760,
2011-06,2743,
2011-07,2734,
2011-08,2670,
2011-09,2555,
2011-10,2587,
2011-11,2550,
2011-12,2449,
2012-01,2428,
2012-02,2476,
2012-03,2481,
2012-04,2482,
2012-05,2462,
2012-06,2401,
2012-07,2419,
2012-08,2329,
2012-09,2339,
2012-10,2352,
2012-11,2469,
2012-12,2466,
2013-01,2563,
2013-02,2583,
2013-03,2336,
2013-04,2456,
2013-05,2642,
2013-06,2299,
2013-07,2250,
2013-08,2226,
2013-09,2252,
2013-10,2223,
2013-11,2229,
2013-12,2200,
2014-01,2202,
2014-02,2234,
2014-03,2475,
2014-04,2407,
2014-05,2474,
2014-06,2174,
2014-07,2130,
2014-08,2152,
2014-09,2151,
2014-10,2059,
2014-11,1633,
