"",BBK01.TUB618,BBK01.TUB618_FLAGS
"",Other assets / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:40:03,
2002-01,18621,
2002-02,18095,
2002-03,17733,
2002-04,17471,
2002-05,17434,
2002-06,17457,
2002-07,21168,
2002-08,26930,
2002-09,23983,
2002-10,29354,
2002-11,24849,
2002-12,24815,
2003-01,19765,
2003-02,19733,
2003-03,21088,
2003-04,19699,
2003-05,19659,
2003-06,20075,
2003-07,19939,
2003-08,20112,
2003-09,20090,
2003-10,38400,
2003-11,23293,
2003-12,23954,
2004-01,19034,
2004-02,18886,
2004-03,30072,
2004-04,29143,
2004-05,18946,
2004-06,19102,
2004-07,19069,
2004-08,19133,
2004-09,29533,
2004-10,19023,
2004-11,19031,
2004-12,26941,
2005-01,26337,
2005-02,18948,
2005-03,31666,
2005-04,19071,
2005-05,35570,
2005-06,19181,
2005-07,19132,
2005-08,38571,
2005-09,26080,
2005-10,34164,
2005-11,47804,
2005-12,49158,
2006-01,20634,
2006-02,26589,
2006-03,21731,
2006-04,19152,
2006-05,36192,
2006-06,19331,
2006-07,19340,
2006-08,43351,
2006-09,34652,
2006-10,29871,
2006-11,33970,
2006-12,24765,
2007-01,32356,
2007-02,37996,
2007-03,40114,
2007-04,28344,
2007-05,44509,
2007-06,37257,
2007-07,40971,
2007-08,66482,
2007-09,73086,
2007-10,92380,
2007-11,100337,
2007-12,98362,
2008-01,120945,
2008-02,137147,
2008-03,115400,
2008-04,118089,
2008-05,120242,
2008-06,124278,
2008-07,122895,
2008-08,136805,
2008-09,127194,
2008-10,97442,
2008-11,120871,
2008-12,146027,
2009-01,162891,
2009-02,176366,
2009-03,184604,
2009-04,184819,
2009-05,172615,
2009-06,203756,
2009-07,194606,
2009-08,192443,
2009-09,211617,
2009-10,186839,
2009-11,192306,
2009-12,209606,
2010-01,209361,
2010-02,228883,
2010-03,238954,
2010-04,244176,
2010-05,286268,
2010-06,280766,
2010-07,302281,
2010-08,313773,
2010-09,339864,
2010-10,316529,
2010-11,329325,
2010-12,355855,
2011-01,332742,
2011-02,350869,
2011-03,353547,
2011-04,339278,
2011-05,353891,
2011-06,366948,
2011-07,373999,
2011-08,420909,
2011-09,480226,
2011-10,496088,
2011-11,525925,
2011-12,494343,
2012-01,528230,
2012-02,576444,
2012-03,645340,
2012-04,672797,
2012-05,727018,
2012-06,757205,
2012-07,755678,
2012-08,779646,
2012-09,727764,
2012-10,751008,
2012-11,746583,
2012-12,687544,
2013-01,648272,
2013-02,642477,
2013-03,617883,
2013-04,636664,
2013-05,617839,
2013-06,604118,
2013-07,604986,
2013-08,602083,
2013-09,599463,
2013-10,590955,
2013-11,574509,
2013-12,539805,
2014-01,529475,
2014-02,528176,
2014-03,499007,
2014-04,506658,
2014-05,495773,
2014-06,490557,
2014-07,472292,
2014-08,492741,
2014-09,508569,
2014-10,497529,
2014-11,496647,
2014-12,490009,
