"",BBK01.OEYI07V,BBK01.OEYI07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:19,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,0.083,
2005-10,0.084,
2006-01,0.086,
2006-04,0.093,
2006-07,0.092,
2006-10,0.099,
2007-01,0.095,
2007-04,0.092,
2007-07,0.090,
2007-10,0.087,
2008-01,0.095,
2008-04,0.086,
2008-07,0.086,
2008-10,0.086,
2009-01,0.087,
2009-04,0.084,
2009-07,0.084,
2009-10,0.083,
2010-01,0.137,
2010-04,0.164,
2010-07,0.212,
2010-10,0.200,
2011-01,0.156,
2011-04,0.154,
2011-07,0.151,
2011-10,0.146,
2012-01,0.144,
2012-04,0.141,
2012-07,0.138,
2012-10,0.130,
2013-01,0.129,
2013-04,0.129,
2013-07,0.149,
2013-10,0.158,
2014-01,0.149,
2014-04,0.148,
2014-07,0.121,
