"",BBNZ1.Q.DE.S.H.0106.A,BBNZ1.Q.DE.S.H.0106.A_FLAGS
"",Germany / National accounts / Use of GDP / Government consumption / Chain-linked index / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:51,
1991-01,71.52,
1991-04,72.54,
1991-07,74.35,
1991-10,74.82,
1992-01,76.38,
1992-04,77.10,
1992-07,77.93,
1992-10,77.90,
1993-01,78.28,
1993-04,77.96,
1993-07,77.71,
1993-10,77.01,
1994-01,79.69,
1994-04,80.11,
1994-07,80.10,
1994-10,80.77,
1995-01,79.82,
1995-04,81.47,
1995-07,82.77,
1995-10,83.89,
1996-01,82.80,
1996-04,83.90,
1996-07,84.83,
1996-10,84.76,
1997-01,84.73,
1997-04,85.33,
1997-07,85.08,
1997-10,83.97,
1998-01,86.15,
1998-04,86.78,
1998-07,86.70,
1998-10,86.71,
1999-01,87.82,
1999-04,87.34,
1999-07,87.79,
1999-10,87.37,
2000-01,88.97,
2000-04,88.57,
2000-07,88.41,
2000-10,89.11,
2001-01,89.20,
2001-04,88.96,
2001-07,88.80,
2001-10,89.91,
2002-01,89.52,
2002-04,90.03,
2002-07,90.41,
2002-10,91.23,
2003-01,90.08,
2003-04,90.46,
2003-07,91.11,
2003-10,91.39,
2004-01,90.06,
2004-04,89.92,
2004-07,90.46,
2004-10,89.75,
2005-01,89.61,
2005-04,91.14,
2005-07,90.61,
2005-10,90.54,
2006-01,91.10,
2006-04,91.14,
2006-07,91.59,
2006-10,91.68,
2007-01,92.46,
2007-04,92.82,
2007-07,92.47,
2007-10,93.20,
2008-01,94.57,
2008-04,96.54,
2008-07,95.69,
2008-10,96.63,
2009-01,97.98,
2009-04,98.61,
2009-07,99.13,
2009-10,99.17,
2010-01,100.07,
2010-04,99.42,
2010-07,100.19,
2010-10,100.31,
2011-01,100.43,
2011-04,100.46,
2011-07,100.43,
2011-10,101.36,
2012-01,101.31,
2012-04,102.02,
2012-07,101.96,
2012-10,102.40,
2013-01,102.41,
2013-04,102.37,
2013-07,102.97,
2013-10,102.87,
2014-01,103.01,
2014-04,103.62,
2014-07,104.24,
2014-10,104.46,
