"",BBK01.QUY857,BBK01.QUY857_FLAGS
"",Consolidated German banks: Foreign securities issued by foreign enterprises and households / Vietnam / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:40:18,
2002-03,0.000,
2002-04,0.000,
2002-05,0.000,
2002-06,0.000,
2002-07,0.000,
2002-08,0.000,
2002-09,0.000,
2002-10,0.000,
2002-11,0.000,
2002-12,0.000,
2003-01,0.000,
2003-02,0.000,
2003-03,0.000,
2003-04,0.000,
2003-05,0.000,
2003-06,0.000,
2003-07,0.003,
2003-08,0.003,
2003-09,0.003,
2003-10,0.003,
2003-11,0.000,
2003-12,0.001,
2004-01,0.000,
2004-02,0.000,
2004-03,0.000,
2004-04,0.000,
2004-05,0.000,
2004-06,0.000,
2004-07,0.009,
2004-08,0.008,
2004-09,0.013,
2004-10,0.002,
2004-11,0.000,
2004-12,0.000,
2005-01,0.000,
2005-02,0.000,
2005-03,0.000,
2005-04,0.000,
2005-05,0.000,
2005-06,0.000,
2005-07,0.000,
2005-08,0.000,
2005-09,0.000,
2005-10,0.000,
2005-11,0.000,
2005-12,0.000,
2006-01,0.000,
2006-02,0.000,
2006-03,0.000,
2006-04,0.000,
2006-05,0.000,
2006-06,0.029,
2006-07,0.030,
2006-08,0.035,
2006-09,0.052,
2006-10,0.070,
2006-11,0.110,
2006-12,0.180,
2007-01,0.362,
2007-02,0.423,
2007-03,0.580,
2007-04,0.579,
2007-05,0.618,
2007-06,0.451,
2007-07,0.494,
2007-08,0.456,
2007-09,0.524,
2007-10,0.573,
2007-11,0.653,
2007-12,0.539,
2008-01,0.447,
2008-02,0.331,
2008-03,0.329,
2008-04,0.455,
2008-05,0.497,
2008-06,0.421,
2008-07,0.468,
2008-08,0.567,
2008-09,0.527,
2008-10,0.310,
2008-11,0.264,
2008-12,0.248,
2009-01,0.273,
2009-02,0.217,
2009-03,0.199,
2009-04,0.231,
2009-05,0.258,
2009-06,0.239,
2009-07,0.259,
2009-08,0.284,
2009-09,0.273,
2009-10,0.269,
2009-11,0.232,
2009-12,0.233,
2010-01,0.240,
2010-02,0.214,
2010-03,0.207,
2010-04,0.253,
2010-05,0.256,
2010-06,0.257,
2010-07,0.262,
2010-08,0.267,
2010-09,0.266,
2010-10,0.293,
2010-11,0.330,
2010-12,0.374,
2011-01,0.417,
2011-02,0.354,
2011-03,0.338,
2011-04,0.326,
2011-05,0.294,
2011-06,0.304,
2011-07,0.054,
2011-08,0.053,
2011-09,0.058,
2011-10,0.054,
2011-11,0.059,
2011-12,0.050,
2012-01,0.054,
2012-02,0.064,
2012-03,0.059,
2012-04,0.359,
2012-05,0.356,
2012-06,0.331,
2012-07,0.340,
2012-08,0.353,
2012-09,0.369,
2012-10,0.337,
2012-11,0.330,
2012-12,0.357,
2013-01,0.467,
2013-02,0.514,
2013-03,0.555,
2013-04,0.519,
2013-05,0.570,
2013-06,0.504,
2013-07,0.505,
2013-08,0.433,
2013-09,0.451,
2013-10,0.456,
2013-11,0.464,
2013-12,0.442,
2014-01,0.515,
2014-02,0.522,
2014-03,0.494,
2014-04,0.475,
2014-05,0.477,
2014-06,0.472,
2014-07,0.501,
2014-08,0.518,
2014-09,0.559,
2014-10,0.580,
