"",BBK01.OEHB03L,BBK01.OEHB03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:44,
2002-01,3.766,
2002-04,4.090,
2002-07,3.921,
2002-10,4.623,
2003-01,4.272,
2003-04,3.922,
2003-07,3.802,
2003-10,4.101,
2004-01,3.961,
2004-04,3.816,
2004-07,3.819,
2004-10,3.538,
2005-01,3.308,
2005-04,3.147,
2005-07,3.064,
2005-10,3.319,
2006-01,3.253,
2006-04,3.196,
2006-07,3.089,
2006-10,3.111,
2007-01,2.917,
2007-04,2.891,
2007-07,3.029,
2007-10,2.963,
2008-01,2.975,
2008-04,3.082,
2008-07,3.172,
2008-10,3.322,
2009-01,3.369,
2009-04,3.353,
2009-07,3.484,
2009-10,3.407,
2010-01,3.231,
2010-04,3.393,
2010-07,3.413,
2010-10,3.401,
2011-01,3.417,
2011-04,3.404,
2011-07,3.508,
2011-10,3.610,
2012-01,3.619,
2012-04,3.636,
2012-07,3.702,
2012-10,3.664,
2013-01,3.619,
2013-04,3.565,
2013-07,3.586,
2013-10,3.501,
2014-01,3.403,
2014-04,3.275,
2014-07,3.282,
