"",BBDE1.M.DE.Y.AEN1.A2P310000.F.C.I10.A,BBDE1.M.DE.Y.AEN1.A2P310000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At constant prices / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:00,
2010-01,91.9,
2010-02,94.3,
2010-03,98.6,
2010-04,99.3,
2010-05,99.3,
2010-06,99.8,
2010-07,102.9,
2010-08,101.0,
2010-09,102.0,
2010-10,102.7,
2010-11,102.2,
2010-12,101.3,
2011-01,107.9,
2011-02,105.9,
2011-03,106.3,
2011-04,107.1,
2011-05,104.9,
2011-06,103.8,
2011-07,108.2,
2011-08,106.9,
2011-09,103.0,
2011-10,102.8,
2011-11,101.6,
2011-12,100.1,
2012-01,103.0,
2012-02,99.8,
2012-03,101.5,
2012-04,102.4,
2012-05,101.4,
2012-06,98.7,
2012-07,98.8,
2012-08,98.8,
2012-09,98.3,
2012-10,97.7,
2012-11,97.7,
2012-12,96.8,
2013-01,98.8,
2013-02,98.4,
2013-03,98.7,
2013-04,98.2,
2013-05,98.4,
2013-06,99.1,
2013-07,100.2,
2013-08,100.3,
2013-09,100.8,
2013-10,101.2,
2013-11,101.3,
2013-12,101.8,
2014-01,102.4,
2014-02,102.7,
2014-03,101.4,
2014-04,101.6,
2014-05,99.4,
2014-06,100.3,
2014-07,100.8,
2014-08,99.5,
2014-09,97.5,
2014-10,98.3,
2014-11,97.2,
2014-12,101.2,Provisional value
