"",BBFN1.M.DE.N.1.L.SA.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SA.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Saudi Arabia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:56,
1975-12,0.015,
1976-01,0.019,
1976-02,0.020,
1976-03,0.021,
1976-04,0.025,
1976-05,0.024,
1976-06,0.024,
1976-07,0.018,
1976-08,0.007,
1976-09,0.006,
1976-10,0.009,
1976-11,0.008,
1976-12,0.009,
1977-01,0.006,
1977-02,0.006,
1977-03,0.007,
1977-04,0.006,
1977-05,0.007,
1977-06,0.007,
1977-07,0.007,
1977-08,0.005,
1977-09,0.004,
1977-10,0.003,
1977-11,0.004,
1977-12,0.003,
1978-01,0.004,
1978-02,0.003,
1978-03,0.002,
1978-04,0.007,
1978-05,0.009,
1978-06,0.007,
1978-07,0.007,
1978-08,0.019,
1978-09,0.019,
1978-10,0.006,
1978-11,0.004,
1978-12,0.015,
1979-01,0.010,
1979-02,0.019,
1979-03,0.036,
1979-04,0.036,
1979-05,0.125,
1979-06,0.184,
1979-07,0.206,
1979-08,0.052,
1979-09,0.048,
1979-10,0.069,
1979-11,0.086,
1979-12,0.079,
1980-01,0.081,
1980-02,0.072,
1980-03,0.087,
1980-04,0.061,
1980-05,0.042,
1980-06,0.048,
1980-07,0.044,
1980-08,0.040,
1980-09,0.044,
1980-10,0.018,
1980-11,0.011,
1980-12,0.014,
1981-01,0.034,
1981-02,0.036,
1981-03,0.042,
1981-04,0.044,
1981-05,0.041,
1981-06,0.067,
1981-07,0.077,
1981-08,0.076,
1981-09,0.067,
1981-10,0.079,
1981-11,0.115,
1981-12,0.111,
1982-01,0.085,
1982-02,0.088,
1982-03,0.086,
1982-04,0.096,
1982-05,0.084,
1982-06,0.109,
1982-07,0.097,
1982-08,0.092,
1982-09,0.082,
1982-10,0.073,
1982-11,0.051,
1982-12,0.064,
1983-01,0.049,
1983-02,0.135,
1983-03,0.090,
1983-04,0.049,
1983-05,0.092,
1983-06,0.099,
1983-07,0.174,
1983-08,0.176,
1983-09,0.230,
1983-10,0.259,
1983-11,0.240,
1983-12,0.163,
1984-01,0.192,
1984-02,0.268,
1984-03,0.217,
1984-04,0.212,
1984-05,0.130,
1984-06,0.067,
1984-07,0.149,
1984-08,0.151,
1984-09,0.154,
1984-10,0.233,
1984-11,0.255,
1984-12,0.156,
1985-01,0.242,
1985-02,0.268,
1985-03,0.279,
1985-04,0.247,
1985-05,0.250,
1985-06,0.262,
1985-07,0.133,
1985-08,0.148,
1985-09,0.228,
1985-10,0.206,
1985-11,0.105,
1985-12,0.105,
1986-01,0.022,
1986-02,0.022,
1986-03,0.041,
1986-04,0.030,
1986-05,0.035,
1986-06,0.021,
1986-07,0.017,
1986-08,0.034,
1986-09,0.031,
1986-10,0.025,
1986-11,0.027,
1986-12,0.021,
1987-01,0.021,
1987-02,0.019,
1987-03,0.020,
1987-04,0.020,
1987-05,0.025,
1987-06,0.018,
1987-07,0.025,
1987-08,0.019,
1987-09,0.019,
1987-10,0.019,
1987-11,0.017,
1987-12,0.010,
1988-01,0.011,
1988-02,0.005,
1988-03,0.009,
1988-04,0.006,
1988-05,0.004,
1988-06,0.011,
1988-07,0.016,
1988-08,0.023,
1988-09,0.022,
1988-10,0.021,
1988-11,0.021,
1988-12,0.006,
1989-01,0.003,
1989-02,0.002,
1989-03,0.002,
1989-04,0.002,
1989-05,0.002,
1989-06,0.002,
1989-07,0.030,
1989-08,0.032,
1989-09,0.029,
1989-10,0.027,
1989-11,0.003,
1989-12,0.003,
1990-01,0.002,
1990-02,0.002,
1990-03,0.002,
1990-04,0.002,
1990-05,0.004,
1990-06,0.002,
1990-07,0.002,
1990-08,0.001,
1990-09,0.002,
1990-10,0.002,
1990-11,0.002,
1990-12,0.022,
1991-01,0.020,
1991-02,0.020,
1991-03,0.020,
1991-04,0.020,
1991-05,0.020,
1991-06,0.020,
1991-07,0.013,
1991-08,0.013,
1991-09,0.019,
1991-10,0.019,
1991-11,0.006,
1991-12,0.019,
1992-01,0.014,
1992-02,0.014,
1992-03,0.014,
1992-04,0.014,
1992-05,0.011,
1992-06,0.011,
1992-07,0.011,
1992-08,0.011,
1992-09,.,No value available
1992-10,.,No value available
1992-11,0.015,
1992-12,.,No value available
1993-01,.,No value available
1993-02,.,No value available
1993-03,0.024,
1993-04,.,No value available
1993-05,.,No value available
1993-06,.,No value available
1993-07,.,No value available
1993-08,.,No value available
1993-09,.,No value available
1993-10,0.084,
1993-11,.,No value available
1993-12,.,No value available
1994-01,.,No value available
1994-02,.,No value available
1994-03,0.088,
1994-04,.,No value available
1994-05,.,No value available
1994-06,0.086,
1994-07,0.087,
1994-08,0.096,
1994-09,0.007,
1994-10,.,No value available
1994-11,0.010,
1994-12,0.011,
1995-01,0.009,
1995-02,0.014,
1995-03,0.015,
1995-04,0.015,
1995-05,.,No value available
1995-06,0.013,
1995-07,0.012,
1995-08,.,No value available
1995-09,.,No value available
