"",BBFB1.Q.N.DE.IT.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:57,
1991-01,187.097,
1991-04,-376.367,
1991-07,-1176.680,
1991-10,384.917,
1992-01,1063.498,
1992-04,248.250,
1992-07,-325.345,
1992-10,-247.497,
1993-01,371.192,
1993-04,-120.483,
1993-07,-1483.182,
1993-10,-471.850,
1994-01,170.878,
1994-04,-756.297,
1994-07,-2061.760,
1994-10,-573.070,
1995-01,-104.869,
1995-04,-1045.906,
1995-07,-2015.718,
1995-10,-62.872,
1996-01,372.549,
1996-04,-865.946,
1996-07,-1656.724,
1996-10,-56.865,
1997-01,239.878,
1997-04,-182.320,
1997-07,-1483.223,
1997-10,578.389,
1998-01,1055.261,
1998-04,338.581,
1998-07,-934.924,
1998-10,555.523,
1999-01,1478.202,
1999-04,816.600,
1999-07,-644.063,
1999-10,2321.023,
2000-01,3160.190,
2000-04,2551.939,
2000-07,1265.352,
2000-10,3428.825,
2001-01,4700.813,
2001-04,2286.099,
2001-07,1535.198,
2001-10,3472.983,
2002-01,4294.810,
2002-04,3690.183,
2002-07,2104.162,
2002-10,3833.116,
2003-01,4499.277,
2003-04,3190.112,
2003-07,1697.948,
2003-10,4767.942,
2004-01,5316.399,
2004-04,4996.339,
2004-07,3258.034,
2004-10,5009.173,
2005-01,5777.321,
2005-04,5315.493,
2005-07,3572.538,
2005-10,6078.834,
2006-01,6687.087,
2006-04,5771.042,
2006-07,3788.080,
2006-10,5529.200,
2007-01,4877.654,
2007-04,4203.230,
2007-07,2544.161,
2007-10,5463.665,
2008-01,5689.913,
2008-04,5843.457,
2008-07,3361.913,
2008-10,5108.948,
2009-01,4649.475,
2009-04,4053.759,
2009-07,2899.881,
2009-10,4739.992,
2010-01,5168.525,
2010-04,4137.559,
2010-07,2673.164,
2010-10,5932.705,
2011-01,5929.695,
2011-04,4375.309,
2011-07,2501.221,
2011-10,3857.141,
2012-01,3486.709,
2012-04,2256.683,
2012-07,-169.223,
2012-10,2520.221,
2013-01,3718.115,
2013-04,2270.304,
2013-07,281.122,
2013-10,2392.104,
2014-01,3111.584,Provisional value
2014-04,1897.409,Provisional value
2014-07,484.847,Provisional value
