"",BBK01.OELJ04L,BBK01.OELJ04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:39,
2002-01,1.170,
2002-04,1.167,
2002-07,1.204,
2002-10,1.262,
2003-01,1.160,
2003-04,1.158,
2003-07,1.206,
2003-10,1.242,
2004-01,1.163,
2004-04,1.136,
2004-07,1.181,
2004-10,1.096,
2005-01,1.093,
2005-04,1.134,
2005-07,1.196,
2005-10,1.228,
2006-01,1.225,
2006-04,1.211,
2006-07,1.312,
2006-10,1.361,
2007-01,1.343,
2007-04,1.380,
2007-07,1.557,
2007-10,1.653,
2008-01,1.687,
2008-04,1.763,
2008-07,2.191,
2008-10,2.106,
2009-01,2.174,
2009-04,1.962,
2009-07,2.034,
2009-10,1.628,
2010-01,1.646,
2010-04,1.666,
2010-07,1.956,
2010-10,1.904,
2011-01,1.998,
2011-04,1.896,
2011-07,2.028,
2011-10,2.183,
2012-01,1.656,
2012-04,1.600,
2012-07,1.309,
2012-10,1.574,
2013-01,1.355,
2013-04,1.269,
2013-07,1.294,
2013-10,1.432,
2014-01,1.227,
2014-04,1.284,
2014-07,1.205,
