"",BBK01.OECI07I,BBK01.OECI07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:00,
2002-01,1.420,
2002-04,0.971,
2002-07,0.951,
2002-10,1.033,
2003-01,0.986,
2003-04,0.969,
2003-07,1.060,
2003-10,1.063,
2004-01,1.005,
2004-04,0.984,
2004-07,1.134,
2004-10,1.170,
2005-01,3.812,
2005-04,3.820,
2005-07,3.819,
2005-10,3.848,
2006-01,3.772,
2006-04,3.770,
2006-07,3.726,
2006-10,3.726,
2007-01,3.800,
2007-04,3.763,
2007-07,3.676,
2007-10,3.705,
2008-01,3.712,
2008-04,3.858,
2008-07,3.735,
2008-10,3.815,
2009-01,4.010,
2009-04,4.226,
2009-07,4.493,
2009-10,4.645,
2010-01,4.697,
2010-04,4.682,
2010-07,4.685,
2010-10,4.731,
2011-01,4.684,
2011-04,4.634,
2011-07,4.627,
2011-10,4.633,
2012-01,4.938,
2012-04,4.858,
2012-07,4.818,
2012-10,4.853,
2013-01,4.798,
2013-04,4.740,
2013-07,4.620,
2013-10,4.582,
2014-01,4.515,
2014-04,4.393,
2014-07,4.489,
