"",BBFB1.Q.N.DE.SG.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.SG.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:18,
1991-01,0.011,
1991-04,0.011,
1991-07,0.011,
1991-10,0.011,
1992-01,-0.005,
1992-04,-0.005,
1992-07,-0.005,
1992-10,-0.005,
1993-01,-0.109,
1993-04,-0.109,
1993-07,-0.109,
1993-10,-0.109,
1994-01,0.081,
1994-04,0.081,
1994-07,0.081,
1994-10,0.081,
1995-01,0.451,
1995-04,0.451,
1995-07,0.451,
1995-10,0.451,
1996-01,-3.266,
1996-04,-3.266,
1996-07,-3.266,
1996-10,-3.266,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-2.000,
1999-04,-3.000,
1999-07,-3.000,
1999-10,-3.000,
2000-01,-9.000,
2000-04,-9.000,
2000-07,-9.000,
2000-10,-11.000,
2001-01,-1.050,
2001-04,-1.320,
2001-07,-1.320,
2001-10,-1.050,
2002-01,-0.855,
2002-04,-1.027,
2002-07,-1.111,
2002-10,-1.282,
2003-01,0.348,
2003-04,0.417,
2003-07,0.452,
2003-10,0.521,
2004-01,-3.471,
2004-04,-3.423,
2004-07,-3.663,
2004-10,-4.806,
2005-01,0.093,
2005-04,-5.917,
2005-07,-3.472,
2005-10,-9.410,
2006-01,-15.032,
2006-04,-0.969,
2006-07,-1.679,
2006-10,2.760,
2007-01,0.959,
2007-04,0.876,
2007-07,0.709,
2007-10,0.458,
2008-01,4.855,
2008-04,-3.259,
2008-07,-5.747,
2008-10,-1.613,
2009-01,0.014,
2009-04,0.106,
2009-07,0.299,
2009-10,0.582,
2010-01,-1.383,
2010-04,-1.750,
2010-07,-1.932,
2010-10,-2.933,
2011-01,6.162,
2011-04,4.031,
2011-07,4.183,
2011-10,6.623,
2012-01,6.844,
2012-04,6.739,
2012-07,6.808,
2012-10,6.555,
2013-01,4.180,
2013-04,3.942,
2013-07,3.807,
2013-10,3.779,
2014-01,3.859,Provisional value
2014-04,3.857,Provisional value
2014-07,3.959,Provisional value
2014-10,3.977,Provisional value
