"",BBSF2.M.1.S.I0011.GEM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0011.GEM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Non-financial corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:56,
2009-09,640,
2009-10,731,
2009-11,623,
2009-12,661,
2010-01,338,
2010-02,377,
2010-03,369,
2010-04,230,
2010-05,84,
2010-06,460,
2010-07,24,
2010-08,108,
2010-09,120,
2010-10,507,
2010-11,505,
2010-12,890,
2011-01,271,
2011-02,207,
2011-03,534,
2011-04,1198,
2011-05,510,
2011-06,201,
2011-07,204,
2011-08,353,
2011-09,143,
2011-10,239,
2011-11,360,
2011-12,762,
2012-01,227,
2012-02,398,
2012-03,526,
2012-04,137,
2012-05,367,
2012-06,299,
2012-07,220,
2012-08,33,
2012-09,294,
2012-10,686,
2012-11,1065,
2012-12,1445,
2013-01,194,
2013-02,804,
2013-03,378,
2013-04,291,
2013-05,372,
2013-06,752,
2013-07,398,
2013-08,82,
2013-09,440,
2013-10,386,
2013-11,610,
2013-12,971,
2014-01,534,
2014-02,1286,
2014-03,1091,
2014-04,260,
2014-05,190,
2014-06,1310,
2014-07,192,
2014-08,113,
2014-09,217,
2014-10,352,
2014-11,284,
