"",BBFN1.M.DE.N.1.L.IT.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IT.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Italy,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:55,
1994-12,3.282,
1995-01,3.227,
1995-02,3.314,
1995-03,3.525,
1995-04,3.430,
1995-05,3.349,
1995-06,3.552,
1995-07,3.714,
1995-08,3.408,
1995-09,3.525,
1995-10,3.660,
1995-11,3.726,
1995-12,3.401,
1996-01,3.213,
1996-02,3.244,
1996-03,3.562,
1996-04,3.525,
1996-05,3.445,
1996-06,3.479,
1996-07,3.560,
1996-08,3.069,
1996-09,3.258,
1996-10,3.253,
1996-11,3.326,
1996-12,3.556,
1997-01,3.287,
1997-02,3.245,
1997-03,3.318,
1997-04,3.373,
1997-05,3.586,
1997-06,3.655,
1997-07,3.543,
1997-08,3.256,
1997-09,3.549,
1997-10,3.726,
1997-11,3.782,
1997-12,3.837,
1998-01,3.693,
1998-02,4.056,
1998-03,4.125,
1998-04,4.173,
1998-05,4.448,
1998-06,6.031,
1998-07,5.982,
1998-08,5.485,
1998-09,5.925,
1998-10,6.124,
1998-11,5.520,
1998-12,5.594,
1999-01,5.416,
1999-02,5.523,
1999-03,5.912,
1999-04,6.162,
1999-05,6.095,
1999-06,5.441,
1999-07,4.629,
1999-08,4.314,
1999-09,4.737,
1999-10,5.134,
1999-11,5.106,
1999-12,4.740,
2000-01,4.915,
2000-02,5.264,
2000-03,5.293,
2000-04,5.540,
2000-05,5.659,
2000-06,5.529,
2000-07,5.527,
2000-08,5.256,
2000-09,5.989,
2000-10,6.412,
2000-11,6.098,
2000-12,6.107,
2001-01,6.017,
2001-02,6.168,
2001-03,6.590,
2001-04,6.964,
2001-05,6.376,
2001-06,5.989,
2001-07,5.845,
2001-08,5.689,
2001-09,6.264,
2001-10,5.883,
2001-11,5.827,
2001-12,6.539,
2002-01,6.431,
2002-02,6.595,
2002-03,6.098,
2002-04,6.025,
2002-05,6.144,
2002-06,6.449,
2002-07,6.917,
2002-08,6.816,
2002-09,7.577,
2002-10,7.477,
2002-11,7.580,
2002-12,6.970,
2003-01,7.085,
2003-02,6.794,
2003-03,7.349,
2003-04,7.514,
2003-05,7.471,
2003-06,7.642,
2003-07,7.609,
2003-08,7.677,
2003-09,8.877,
2003-10,9.005,
2003-11,9.321,
2003-12,9.315,
2004-01,8.836,
2004-02,9.119,
2004-03,9.264,
2004-04,8.880,
2004-05,9.287,
2004-06,9.236,
2004-07,9.148,
2004-08,6.993,
2004-09,7.415,
2004-10,7.393,
2004-11,7.635,
2004-12,7.728,
2005-01,6.964,
2005-02,7.237,
2005-03,7.575,
2005-04,7.332,
2005-05,7.527,
2005-06,7.613,
2005-07,7.585,
2005-08,7.355,
2005-09,7.630,
2005-10,7.812,
2005-11,7.748,
2005-12,14.501,
2006-01,13.960,
2006-02,14.136,
2006-03,14.703,
2006-04,14.604,
2006-05,14.756,
2006-06,14.827,
2006-07,14.826,
2006-08,14.561,
2006-09,15.105,
2006-10,14.920,
2006-11,15.369,
2006-12,15.176,
2007-01,14.424,
2007-02,14.589,
2007-03,15.085,
2007-04,15.388,
2007-05,17.428,
2007-06,18.078,
2007-07,18.187,
2007-08,10.187,
2007-09,10.090,
2007-10,10.684,
2007-11,10.820,
2007-12,10.232,
2008-01,10.806,
2008-02,11.277,
2008-03,11.551,
2008-04,11.083,
2008-05,11.463,
2008-06,10.618,
2008-07,10.655,
2008-08,10.304,
2008-09,11.107,
2008-10,10.550,
2008-11,10.431,
2008-12,10.688,
2009-01,10.167,
2009-02,10.336,
2009-03,10.712,
2009-04,9.981,
2009-05,10.371,
2009-06,10.191,
2009-07,9.598,
2009-08,9.778,
2009-09,10.288,
2009-10,10.076,
2009-11,9.984,
2009-12,10.043,
2010-01,9.509,
2010-02,9.740,
2010-03,10.231,
2010-04,9.996,
2010-05,10.043,
2010-06,10.205,
2010-07,9.989,
2010-08,9.688,
2010-09,10.370,
2010-10,10.242,
2010-11,10.685,
2010-12,12.528,
2011-01,12.493,
2011-02,13.003,
2011-03,13.578,
2011-04,13.470,
2011-05,13.073,
2011-06,13.226,
2011-07,12.967,
2011-08,12.682,
2011-09,13.890,
2011-10,13.500,
2011-11,14.318,
2011-12,14.467,
2012-01,13.987,
2012-02,14.135,
2012-03,14.448,
2012-04,14.289,
2012-05,15.518,
2012-06,15.244,
2012-07,15.117,
2012-08,14.670,
2012-09,14.191,
2012-10,14.497,
2012-11,15.655,
2012-12,14.828,
2013-01,14.702,
2013-02,14.461,
2013-03,14.538,
2013-04,14.332,
2013-05,14.846,
2013-06,14.340,
2013-07,15.537,
2013-08,13.157,
2013-09,12.510,
2013-10,12.613,
2013-11,12.904,
2013-12,12.524,
2014-01,12.084,
2014-02,13.645,
2014-03,14.254,
2014-04,12.969,
2014-05,12.433,
2014-06,12.997,
2014-07,13.871,
2014-08,12.912,
2014-09,12.281,
2014-10,12.195,
2014-11,12.681,
2014-12,12.324,
