"",BBK01.OEAE08G,BBK01.OEAE08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:50,
2002-01,2.105,
2002-04,2.215,
2002-07,2.159,
2002-10,1.997,
2003-01,1.937,
2003-04,1.872,
2003-07,2.363,
2003-10,2.180,
2004-01,2.096,
2004-04,2.286,
2004-07,2.106,
2004-10,2.240,
2005-01,2.177,
2005-04,2.152,
2005-07,2.084,
2005-10,2.146,
2006-01,2.276,
2006-04,2.227,
2006-07,2.244,
2006-10,2.387,
2007-01,2.218,
2007-04,1.698,
2007-07,3.305,
2007-10,3.365,
2008-01,3.327,
2008-04,3.407,
2008-07,4.006,
2008-10,4.375,
2009-01,4.157,
2009-04,4.207,
2009-07,3.820,
2009-10,3.622,
2010-01,1.330,
2010-04,1.361,
2010-07,1.332,
2010-10,1.324,
2011-01,1.364,
2011-04,1.350,
2011-07,1.364,
2011-10,1.399,
2012-01,1.412,
2012-04,1.336,
2012-07,1.459,
2012-10,1.400,
2013-01,1.376,
2013-04,1.356,
2013-07,1.342,
2013-10,1.375,
2014-01,1.359,
2014-04,1.332,
2014-07,1.309,
