"",BBK01.OXA8O6,BBK01.OXA8O6_FLAGS
"","Stocks of loans to domestic self-employed persons (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:26,
2009-12,10.610,
2010-01,11.093,
2010-02,-,Nothing exists
2010-03,10.720,
2010-04,-,Nothing exists
2010-05,10.387,
2010-06,10.210,
2010-07,10.025,
2010-08,9.841,
2010-09,9.684,
2010-10,9.709,
2010-11,9.295,
2010-12,9.052,
2011-01,8.746,
2011-02,8.641,
2011-03,8.517,
2011-04,8.403,
2011-05,8.283,
2011-06,8.191,
2011-07,8.104,
2011-08,9.686,
2011-09,9.549,
2011-10,9.452,
2011-11,9.475,
2011-12,9.303,
2012-01,9.219,
2012-02,9.024,
2012-03,8.871,
2012-04,8.966,
2012-05,8.742,
2012-06,8.597,
2012-07,8.690,
2012-08,8.548,
2012-09,8.404,
2012-10,8.257,
2012-11,8.353,
2012-12,8.245,
2013-01,8.140,
2013-02,8.243,
2013-03,8.106,
2013-04,7.970,
2013-05,7.833,
2013-06,8.328,
2013-07,8.226,
2013-08,8.065,
2013-09,7.928,
2013-10,8.438,
2013-11,8.723,
2013-12,8.513,
2014-01,8.380,
2014-02,8.165,
2014-03,8.018,
2014-04,8.124,
2014-05,8.158,
2014-06,7.999,
2014-07,7.819,
2014-08,7.983,
2014-09,7.090,
2014-10,8.237,
2014-11,8.077,
2014-12,7.454,Provisional value
