"",BBK01.OEXB02K,BBK01.OEXB02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:27,
2002-01,9.869,
2002-04,9.677,
2002-07,8.932,
2002-10,8.565,
2003-01,8.098,
2003-04,8.262,
2003-07,8.654,
2003-10,9.394,
2004-01,8.094,
2004-04,8.314,
2004-07,8.356,
2004-10,4.863,
2005-01,5.484,
2005-04,5.248,
2005-07,5.438,
2005-10,5.265,
2006-01,6.219,
2006-04,6.730,
2006-07,7.161,
2006-10,6.984,
2007-01,7.245,
2007-04,7.049,
2007-07,7.232,
2007-10,7.787,
2008-01,7.957,
2008-04,7.967,
2008-07,8.114,
2008-10,8.314,
2009-01,9.217,
2009-04,8.221,
2009-07,8.243,
2009-10,8.077,
2010-01,8.434,
2010-04,10.115,
2010-07,7.902,
2010-10,7.951,
2011-01,7.187,
2011-04,6.448,
2011-07,6.653,
2011-10,6.132,
2012-01,6.477,
2012-04,6.797,
2012-07,6.494,
2012-10,6.307,
2013-01,6.402,
2013-04,6.338,
2013-07,6.595,
2013-10,6.451,
2014-01,6.668,
2014-04,6.871,
2014-07,6.831,
