"",BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.P.F3.L._T.M.N,BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.P.F3.L._T.M.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Debt securities / Rest of the World / Monetary financial institutions other than central bank / Portfolio investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:45,
1991-01,1291.715,
1991-04,2080.399,
1991-07,1597.196,
1991-10,2635.306,
1992-01,1502.180,
1992-04,1545.471,
1992-07,4340.359,
1992-10,15339.157,
1993-01,11552.180,
1993-04,7708.306,
1993-07,7429.388,
1993-10,2720.453,
1994-01,-896.704,
1994-04,-2187.013,
1994-07,5142.728,
1994-10,7379.316,
1995-01,3110.909,
1995-04,2828.367,
1995-07,5659.179,
1995-10,7771.179,
1996-01,12957.829,
1996-04,2447.861,
1996-07,6491.021,
1996-10,8056.125,
1997-01,10892.252,
1997-04,1364.834,
1997-07,6891.331,
1997-10,3295.991,
1998-01,15016.170,
1998-04,9996.220,
1998-07,13576.962,
1998-10,314.511,
1999-01,28613.974,
1999-04,17871.806,
1999-07,16489.584,
1999-10,2176.609,
2000-01,10278.369,
2000-04,14206.196,
2000-07,10036.894,
2000-10,17555.439,
2001-01,23294.567,
2001-04,16264.018,
2001-07,9216.554,
2001-10,23794.366,
2002-01,12519.946,
2002-04,19165.481,
2002-07,17817.485,
2002-10,-5165.395,
2003-01,3245.813,
2003-04,16008.038,
2003-07,15404.458,
2003-10,12316.995,
2004-01,33485.108,
2004-04,24757.298,
2004-07,25046.824,
2004-10,10326.186,
2005-01,31191.380,
2005-04,36784.146,
2005-07,10404.689,
2005-10,10475.505,
2006-01,22521.795,
2006-04,3347.430,
2006-07,10508.624,
2006-10,28963.651,
2007-01,41010.375,
2007-04,35547.257,
2007-07,26743.685,
2007-10,34497.499,
2008-01,14619.565,
2008-04,13464.362,
2008-07,-2602.184,
2008-10,-39407.141,
2009-01,-27811.755,
2009-04,-11956.433,
2009-07,-24845.018,
2009-10,-16992.129,
2010-01,-6935.088,
2010-04,-8442.801,
2010-07,-8584.005,
2010-10,-19511.938,
2011-01,-3069.725,
2011-04,3183.906,
2011-07,-4099.242,
2011-10,-11337.172,
2012-01,-16070.508,
2012-04,-5636.866,
2012-07,-917.084,
2012-10,-6037.378,
2013-01,-6360.856,
2013-04,-14204.718,
2013-07,-8004.885,
2013-10,-6568.079,
2014-01,-14985.042,
2014-04,-3802.298,
2014-07,-1115.651,
