"",BBK01.OEAA24T,BBK01.OEAA24T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:26,
2002-01,0.073,
2002-04,0.070,
2002-07,0.065,
2002-10,0.063,
2003-01,0.062,
2003-04,0.061,
2003-07,0.061,
2003-10,0.047,
2004-01,0.173,
2004-04,0.169,
2004-07,0.159,
2004-10,0.160,
2005-01,0.160,
2005-04,0.163,
2005-07,0.157,
2005-10,0.158,
2006-01,0.158,
2006-04,0.160,
2006-07,0.159,
2006-10,0.160,
2007-01,0.161,
2007-04,0.164,
2007-07,0.170,
2007-10,0.174,
2008-01,0.172,
2008-04,0.175,
2008-07,0.183,
2008-10,0.194,
2009-01,0.204,
2009-04,0.209,
2009-07,0.220,
2009-10,0.236,
2010-01,0.250,
2010-04,0.259,
2010-07,0.277,
2010-10,0.292,
2011-01,0.303,
2011-04,0.304,
2011-07,0.299,
2011-10,0.285,
2012-01,0.280,
2012-04,0.277,
2012-07,0.282,
2012-10,0.279,
2013-01,0.278,
2013-04,0.280,
2013-07,0.280,
2013-10,0.282,
2014-01,0.282,
2014-04,0.281,
2014-07,0.284,
