"",BBK01.OEAC58N,BBK01.OEAC58N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:56,
2002-01,15.689,
2002-04,15.804,
2002-07,15.836,
2002-10,15.986,
2003-01,16.107,
2003-04,15.619,
2003-07,15.111,
2003-10,13.330,
2004-01,13.443,
2004-04,13.471,
2004-07,13.440,
2004-10,13.849,
2005-01,14.062,
2005-04,11.661,
2005-07,11.703,
2005-10,11.579,
2006-01,10.303,
2006-04,9.740,
2006-07,9.673,
2006-10,9.769,
2007-01,9.505,
2007-04,9.484,
2007-07,9.658,
2007-10,9.352,
2008-01,9.315,
2008-04,9.301,
2008-07,9.426,
2008-10,9.382,
2009-01,9.266,
2009-04,9.332,
2009-07,9.623,
2009-10,9.595,
2010-01,9.696,
2010-04,9.701,
2010-07,10.608,
2010-10,10.524,
2011-01,10.472,
2011-04,10.510,
2011-07,10.505,
2011-10,10.561,
2012-01,11.674,
2012-04,10.467,
2012-07,10.239,
2012-10,10.419,
2013-01,10.451,
2013-04,10.621,
2013-07,10.775,
2013-10,10.913,
2014-01,10.828,
2014-04,10.901,
2014-07,11.072,
