"",BBK01.OEBM02G,BBK01.OEBM02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:22,
2002-01,0.320,
2002-04,0.497,
2002-07,0.568,
2002-10,0.556,
2003-01,0.709,
2003-04,0.697,
2003-07,0.618,
2003-10,0.714,
2004-01,0.686,
2004-04,1.123,
2004-07,0.969,
2004-10,0.672,
2005-01,0.801,
2005-04,1.073,
2005-07,0.397,
2005-10,0.617,
2006-01,0.845,
2006-04,0.799,
2006-07,0.704,
2006-10,0.933,
2007-01,0.893,
2007-04,0.765,
2007-07,0.687,
2007-10,0.609,
2008-01,0.380,
2008-04,0.637,
2008-07,0.598,
2008-10,0.790,
2009-01,1.313,
2009-04,1.154,
2009-07,1.480,
2009-10,1.329,
2010-01,0.764,
2010-04,1.312,
2010-07,1.175,
2010-10,0.798,
2011-01,0.781,
2011-04,1.253,
2011-07,0.789,
2011-10,0.949,
2012-01,0.913,
2012-04,1.274,
2012-07,0.875,
2012-10,0.877,
2013-01,0.532,
2013-04,0.887,
2013-07,0.445,
2013-10,0.416,
2014-01,0.256,
2014-04,0.761,
2014-07,0.379,
