"",BBNZ1.Q.DE.N.G.0032.A,BBNZ1.Q.DE.N.G.0032.A_FLAGS
"",Germany / National accounts / Overall economy / Compensation of employees - residents,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-24 08:20:52,
1991-01,190.388,
1991-04,206.466,
1991-07,213.192,
1991-10,246.708,
1992-01,208.990,
1992-04,221.132,
1992-07,234.190,
1992-10,264.437,
1993-01,216.949,
1993-04,228.078,
1993-07,235.907,
1993-10,269.620,
1994-01,225.081,
1994-04,232.342,
1994-07,241.109,
1994-10,277.006,
1995-01,231.402,
1995-04,242.376,
1995-07,250.943,
1995-10,285.961,
1996-01,236.355,
1996-04,244.105,
1996-07,252.997,
1996-10,286.370,
1997-01,237.858,
1997-04,245.935,
1997-07,252.983,
1997-10,287.383,
1998-01,240.229,
1998-04,250.875,
1998-07,259.846,
1998-10,294.869,
1999-01,246.719,
1999-04,259.236,
1999-07,267.331,
1999-10,302.669,
2000-01,257.766,
2000-04,268.965,
2000-07,277.596,
2000-10,313.062,
2001-01,264.147,
2001-04,273.665,
2001-07,280.077,
2001-10,316.439,
2002-01,266.764,
2002-04,275.255,
2002-07,282.904,
2002-10,316.934,
2003-01,267.850,
2003-04,275.801,
2003-07,283.725,
2003-10,316.226,
2004-01,269.574,
2004-04,277.925,
2004-07,283.097,
2004-10,315.551,
2005-01,269.088,
2005-04,277.427,
2005-07,282.182,
2005-10,315.318,
2006-01,270.599,
2006-04,281.886,
2006-07,289.264,
2006-10,322.626,
2007-01,278.922,
2007-04,290.825,
2007-07,295.849,
2007-10,331.591,
2008-01,289.368,
2008-04,302.146,
2008-07,306.767,
2008-10,343.365,
2009-01,294.414,
2009-04,303.308,
2009-07,307.067,
2009-10,341.885,
2010-01,299.329,
2010-04,312.376,
2010-07,317.265,
2010-10,354.835,
2011-01,312.493,
2011-04,327.575,
2011-07,330.287,
2011-10,368.310,
2012-01,323.944,
2012-04,340.584,
2012-07,342.873,
2012-10,382.275,
2013-01,333.427,
2013-04,349.316,
2013-07,352.522,
2013-10,393.051,
2014-01,346.071,
2014-04,362.354,
2014-07,365.464,
2014-10,407.189,
