"",BBK01.PQP356,BBK01.PQP356_FLAGS
"",Lending to domestic enterprises / Medium-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:39,
1985-10,0.944,
1986-01,0.957,
1986-04,0.884,
1986-07,0.954,
1986-10,0.941,
1987-01,0.979,
1987-04,1.093,
1987-07,1.158,
1987-10,1.226,
1988-01,1.253,
1988-04,1.211,
1988-07,1.255,
1988-10,1.217,
1989-01,1.158,
1989-04,1.136,
1989-07,1.024,
1989-10,0.997,
1990-01,0.930,
1990-04,1.373,
1990-07,1.418,
1990-10,1.483,
1991-01,1.461,
1991-04,1.553,
1991-07,1.627,
1991-10,1.644,
1992-01,1.682,
1992-04,1.718,
1992-07,1.822,
1992-10,2.484,
1993-01,2.490,
1993-04,2.518,
1993-07,2.621,
1993-10,2.503,
1994-01,2.740,
1994-04,2.570,
1994-07,3.075,
1994-10,2.947,
1995-01,2.902,
1995-04,2.839,
1995-07,2.902,
1995-10,3.046,
1996-01,3.184,
1996-04,3.118,
1996-07,3.302,
1996-10,3.347,
1997-01,3.138,
1997-04,3.129,
1997-07,3.099,
1997-10,3.053,
1998-01,2.963,
1998-04,2.941,
1998-07,2.883,
1998-10,2.885,
1999-01,3.644,
1999-04,3.061,
1999-07,3.360,
1999-10,3.358,
2000-01,3.469,
2000-04,3.423,
2000-07,3.404,
2000-10,3.847,
2001-01,3.959,
2001-04,5.178,
2001-07,5.397,
2001-10,5.392,
2002-01,5.922,
2002-04,6.205,
2002-07,5.918,
2002-10,6.597,
2003-01,6.286,
2003-04,6.772,
2003-07,6.900,
2003-10,7.240,
2004-01,7.204,
2004-04,7.685,
2004-07,7.816,
2004-10,7.633,
2005-01,7.466,
2005-04,7.893,
2005-07,8.977,
2005-10,12.319,
2006-01,12.540,
2006-04,13.187,
2006-07,14.681,
2006-10,14.313,
2007-01,15.864,
2007-04,18.010,
2007-07,18.776,
2007-10,19.578,
2008-01,21.961,
2008-04,22.076,
2008-07,22.639,
2008-10,23.448,
2009-01,23.926,
2009-04,23.438,
2009-07,23.016,
2009-10,24.679,
2010-01,22.848,
2010-04,23.759,
2010-07,22.778,
2010-10,23.144,
2011-01,23.146,
2011-04,22.072,
2011-07,22.612,
2011-10,22.937,
2012-01,22.573,
2012-04,22.487,
2012-07,22.439,
2012-10,22.252,
2013-01,21.815,
2013-04,21.896,
2013-07,20.903,
2013-10,20.094,
2014-01,21.059,
2014-04,21.729,
2014-07,22.188,
2014-10,23.014,
