"",BBFB1.Q.N.DE.B5.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:19,
1991-01,54482.392,
1991-04,54174.068,
1991-07,52376.282,
1991-10,56046.305,
1992-01,57321.683,
1992-04,54957.249,
1992-07,54268.818,
1992-10,55375.727,
1993-01,49855.611,
1993-04,49196.893,
1993-07,45967.769,
1993-10,49645.537,
1994-01,51003.304,
1994-04,54665.829,
1994-07,51861.745,
1994-10,56215.139,
1995-01,58734.697,
1995-04,60651.642,
1995-07,57356.468,
1995-10,61516.432,
1996-01,62067.166,
1996-04,60876.899,
1996-07,58862.039,
1996-10,64825.099,
1997-01,63658.835,
1997-04,68525.967,
1997-07,66961.022,
1997-10,72994.761,
1998-01,73430.157,
1998-04,76971.091,
1998-07,71522.188,
1998-10,76788.223,
1999-01,75002.123,
1999-04,79293.930,
1999-07,77356.708,
1999-10,85347.622,
2000-01,88916.579,
2000-04,90634.432,
2000-07,87470.287,
2000-10,100980.830,
2001-01,98360.075,
2001-04,97485.678,
2001-07,93458.481,
2001-10,97270.110,
2002-01,94267.674,
2002-04,99977.076,
2002-07,96905.634,
2002-10,102722.205,
2003-01,100624.652,
2003-04,98813.954,
2003-07,98924.725,
2003-10,106991.728,
2004-01,108345.894,
2004-04,112799.469,
2004-07,108158.884,
2004-10,114648.588,
2005-01,112921.103,
2005-04,120426.640,
2005-07,116055.522,
2005-10,125586.094,
2006-01,131106.878,
2006-04,132500.344,
2006-07,129197.166,
2006-10,140095.214,
2007-01,149267.475,
2007-04,150319.978,
2007-07,146112.658,
2007-10,153856.780,
2008-01,155285.336,
2008-04,158190.050,
2008-07,148736.421,
2008-10,136124.281,
2009-01,120065.370,
2009-04,113815.507,
2009-07,117407.417,
2009-10,124225.830,
2010-01,127793.128,
2010-04,135922.355,
2010-07,134984.545,
2010-10,144832.028,
2011-01,152971.779,
2011-04,153138.070,
2011-07,147033.520,
2011-10,146894.618,
2012-01,156100.658,
2012-04,150665.345,
2012-07,145721.772,
2012-10,145807.261,
2013-01,152907.127,
2013-04,151895.623,
2013-07,148630.334,
2013-10,152105.832,
2014-01,160973.556,Provisional value
2014-04,158333.365,Provisional value
2014-07,158919.917,Provisional value
