"",BBK01.OEXB02O,BBK01.OEXB02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:08,
2002-01,-1.172,
2002-04,-0.962,
2002-07,-0.736,
2002-10,-0.467,
2003-01,-1.006,
2003-04,-1.851,
2003-07,-0.997,
2003-10,-1.362,
2004-01,-1.101,
2004-04,-1.351,
2004-07,-0.774,
2004-10,-1.144,
2005-01,1.847,
2005-04,1.619,
2005-07,1.664,
2005-10,1.612,
2006-01,1.705,
2006-04,1.406,
2006-07,1.737,
2006-10,1.808,
2007-01,1.798,
2007-04,1.665,
2007-07,1.928,
2007-10,2.023,
2008-01,2.107,
2008-04,2.013,
2008-07,2.152,
2008-10,1.907,
2009-01,1.655,
2009-04,1.507,
2009-07,1.751,
2009-10,1.832,
2010-01,2.018,
2010-04,2.060,
2010-07,2.269,
2010-10,2.542,
2011-01,2.334,
2011-04,2.257,
2011-07,2.360,
2011-10,2.386,
2012-01,2.523,
2012-04,2.560,
2012-07,2.423,
2012-10,2.534,
2013-01,2.353,
2013-04,2.543,
2013-07,2.483,
2013-10,2.483,
2014-01,2.434,
2014-04,2.387,
2014-07,2.554,
