"",BBK01.OEHB24H,BBK01.OEHB24H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:19,
2002-01,4.109,
2002-04,4.099,
2002-07,4.259,
2002-10,4.460,
2003-01,4.608,
2003-04,4.655,
2003-07,4.812,
2003-10,4.859,
2004-01,4.908,
2004-04,4.863,
2004-07,4.927,
2004-10,4.894,
2005-01,4.869,
2005-04,4.805,
2005-07,4.840,
2005-10,4.894,
2006-01,4.933,
2006-04,4.802,
2006-07,4.790,
2006-10,4.758,
2007-01,4.743,
2007-04,4.705,
2007-07,4.577,
2007-10,4.402,
2008-01,4.343,
2008-04,4.248,
2008-07,4.190,
2008-10,4.284,
2009-01,4.340,
2009-04,4.267,
2009-07,4.338,
2009-10,4.503,
2010-01,4.630,
2010-04,4.659,
2010-07,4.782,
2010-10,4.884,
2011-01,4.961,
2011-04,4.920,
2011-07,4.949,
2011-10,5.006,
2012-01,5.068,
2012-04,5.018,
2012-07,5.035,
2012-10,5.035,
2013-01,5.045,
2013-04,5.005,
2013-07,5.047,
2013-10,5.087,
2014-01,5.123,
2014-04,5.023,
2014-07,5.023,
