"",BBK01.DQ7504,BBK01.DQ7504_FLAGS
"","Pay rates, overall economy, on a monthly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:07,
1991-01,53.0,
1991-04,55.3,
1991-07,62.1,
1991-10,69.4,
1992-01,58.1,
1992-04,61.3,
1992-07,68.9,
1992-10,76.6,
1993-01,63.2,
1993-04,64.5,
1993-07,72.9,
1993-10,81.2,
1994-01,65.6,
1994-04,66.1,
1994-07,74.3,
1994-10,82.9,
1995-01,68.4,
1995-04,69.8,
1995-07,77.9,
1995-10,86.9,
1996-01,70.8,
1996-04,71.3,
1996-07,79.7,
1996-10,88.4,
1997-01,72.2,
1997-04,72.3,
1997-07,80.8,
1997-10,89.4,
1998-01,73.3,
1998-04,73.8,
1998-07,82.4,
1998-10,91.0,
1999-01,75.4,
1999-04,76.1,
1999-07,84.9,
1999-10,93.3,
2000-01,76.8,
2000-04,77.9,
2000-07,86.7,
2000-10,95.3,
2001-01,78.6,
2001-04,79.3,
2001-07,88.3,
2001-10,97.2,
2002-01,80.4,
2002-04,81.4,
2002-07,90.6,
2002-10,99.7,
2003-01,82.6,
2003-04,83.2,
2003-07,92.3,
2003-10,100.6,
2004-01,83.6,
2004-04,84.1,
2004-07,92.9,
2004-10,101.1,
2005-01,84.8,
2005-04,85.1,
2005-07,93.8,
2005-10,101.8,
2006-01,85.7,
2006-04,86.5,
2006-07,94.2,
2006-10,103.5,
2007-01,86.3,
2007-04,88.1,
2007-07,95.8,
2007-10,104.7,
2008-01,88.5,
2008-04,89.8,
2008-07,98.7,
2008-10,108.4,
2009-01,91.0,
2009-04,92.1,
2009-07,100.5,
2009-10,109.7,
2010-01,92.8,
2010-04,94.2,
2010-07,101.6,
2010-10,111.4,
2011-01,94.4,
2011-04,95.6,
2011-07,103.7,
2011-10,113.5,
2012-01,96.3,
2012-04,98.1,
2012-07,106.6,
2012-10,116.9,
2013-01,99.1,
2013-04,100.2,
2013-07,109.1,
2013-10,119.7,
2014-01,102.3,
2014-04,103.5,
2014-07,112.1,
2014-10,123.1,
