"",BBFN1.M.DE.N.1.A.W1.S1P.H2.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H2.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from advance payments made / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:07,
1974-12,1.174,
1975-01,1.225,
1975-02,1.232,
1975-03,1.266,
1975-04,1.415,
1975-05,1.466,
1975-06,1.604,
1975-07,1.648,
1975-08,1.730,
1975-09,1.818,
1975-10,1.864,
1975-11,1.876,
1975-12,1.809,
1976-01,1.808,
1976-02,1.794,
1976-03,1.876,
1976-04,1.908,
1976-05,1.998,
1976-06,2.125,
1976-07,2.172,
1976-08,2.229,
1976-09,2.261,
1976-10,2.260,
1976-11,2.231,
1976-12,2.180,
1977-01,2.132,
1977-02,2.090,
1977-03,2.146,
1977-04,2.251,
1977-05,2.190,
1977-06,2.197,
1977-07,2.138,
1977-08,2.127,
1977-09,2.193,
1977-10,2.149,
1977-11,2.101,
1977-12,1.981,
1978-01,2.026,
1978-02,2.069,
1978-03,2.159,
1978-04,2.217,
1978-05,2.190,
1978-06,2.295,
1978-07,2.309,
1978-08,2.282,
1978-09,2.315,
1978-10,2.302,
1978-11,2.381,
1978-12,2.385,
1979-01,2.371,
1979-02,2.488,
1979-03,2.559,
1979-04,2.674,
1979-05,2.771,
1979-06,2.739,
1979-07,2.810,
1979-08,2.819,
1979-09,2.693,
1979-10,2.707,
1979-11,2.774,
1979-12,2.652,
1980-01,2.732,
1980-02,2.731,
1980-03,2.947,
1980-04,3.057,
1980-05,3.098,
1980-06,3.001,
1980-07,3.079,
1980-08,3.010,
1980-09,3.133,
1980-10,3.115,
1980-11,3.196,
1980-12,3.129,
1981-01,3.177,
1981-02,3.291,
1981-03,3.405,
1981-04,3.572,
1981-05,3.705,
1981-06,3.534,
1981-07,3.654,
1981-08,3.776,
1981-09,3.785,
1981-10,3.662,
1981-11,3.665,
1981-12,3.641,
1982-01,3.627,
1982-02,3.587,
1982-03,3.791,
1982-04,3.783,
1982-05,3.868,
