"",BBK01.OEAJ06O,BBK01.OEAJ06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:32,
2002-01,1.226,
2002-04,1.228,
2002-07,1.190,
2002-10,1.263,
2003-01,1.266,
2003-04,1.236,
2003-07,1.202,
2003-10,1.183,
2004-01,1.173,
2004-04,1.180,
2004-07,1.219,
2004-10,1.201,
2005-01,1.217,
2005-04,1.223,
2005-07,1.237,
2005-10,1.200,
2006-01,1.201,
2006-04,1.171,
2006-07,1.211,
2006-10,1.223,
2007-01,1.242,
2007-04,1.228,
2007-07,1.222,
2007-10,1.168,
2008-01,1.166,
2008-04,1.170,
2008-07,1.167,
2008-10,1.158,
2009-01,1.156,
2009-04,1.201,
2009-07,1.225,
2009-10,1.310,
2010-01,1.351,
2010-04,1.286,
2010-07,1.299,
2010-10,1.352,
2011-01,1.360,
2011-04,1.475,
2011-07,1.515,
2011-10,1.505,
2012-01,1.457,
2012-04,1.439,
2012-07,1.426,
2012-10,1.401,
2013-01,1.397,
2013-04,1.383,
2013-07,1.396,
2013-10,1.348,
2014-01,1.432,
2014-04,1.375,
2014-07,1.359,
