"",BBK01.OEXB17R,BBK01.OEXB17R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:52,
2002-01,1.650,
2002-04,1.666,
2002-07,1.694,
2002-10,1.752,
2003-01,1.742,
2003-04,1.780,
2003-07,1.792,
2003-10,1.777,
2004-01,1.778,
2004-04,1.794,
2004-07,1.787,
2004-10,1.686,
2005-01,1.666,
2005-04,1.717,
2005-07,1.700,
2005-10,1.642,
2006-01,1.651,
2006-04,1.721,
2006-07,1.785,
2006-10,1.748,
2007-01,1.805,
2007-04,1.858,
2007-07,1.897,
2007-10,1.953,
2008-01,1.887,
2008-04,1.815,
2008-07,1.848,
2008-10,1.862,
2009-01,1.806,
2009-04,1.850,
2009-07,1.886,
2009-10,1.917,
2010-01,1.929,
2010-04,1.942,
2010-07,1.951,
2010-10,1.957,
2011-01,1.969,
2011-04,1.980,
2011-07,2.001,
2011-10,2.037,
2012-01,2.041,
2012-04,2.062,
2012-07,2.089,
2012-10,2.104,
2013-01,2.108,
2013-04,2.122,
2013-07,2.156,
2013-10,2.163,
2014-01,2.183,
2014-04,2.197,
2014-07,2.214,
