"",BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.BR.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:32,
1991-01,49.745,
1991-04,32.319,
1991-07,41.492,
1991-10,64.821,
1992-01,-18.382,
1992-04,-22.466,
1992-07,-11.564,
1992-10,2.318,
1993-01,89.256,
1993-04,59.127,
1993-07,68.960,
1993-10,114.461,
1994-01,167.947,
1994-04,172.240,
1994-07,55.614,
1994-10,248.486,
1995-01,1.524,
1995-04,170.868,
1995-07,14.181,
1995-10,6.719,
1996-01,155.336,
1996-04,113.552,
1996-07,182.829,
1996-10,72.643,
1997-01,4.817,
1997-04,-50.219,
1997-07,104.027,
1997-10,54.496,
1998-01,140.816,
1998-04,528.000,
1998-07,191.971,
1998-10,188.272,
1999-01,53.307,
1999-04,199.075,
1999-07,187.095,
1999-10,168.322,
2000-01,155.656,
2000-04,329.517,
2000-07,687.568,
2000-10,-2.408,
2001-01,-57.357,
2001-04,-379.306,
2001-07,523.475,
2001-10,433.899,
2002-01,-130.493,
2002-04,132.721,
2002-07,-1.728,
2002-10,-47.423,
2003-01,-351.894,
2003-04,-42.352,
2003-07,23.762,
2003-10,-20.155,
2004-01,523.153,
2004-04,330.382,
2004-07,226.993,
2004-10,335.726,
2005-01,8.391,
2005-04,421.431,
2005-07,198.229,
2005-10,600.260,
2006-01,-29.018,
2006-04,112.692,
2006-07,85.019,
2006-10,404.698,
2007-01,745.677,
2007-04,817.214,
2007-07,-536.138,
2007-10,-107.909,
2008-01,424.726,
2008-04,-44.926,
2008-07,-120.476,
2008-10,-517.523,
2009-01,1411.842,
2009-04,-137.417,
2009-07,88.699,
2009-10,-1143.931,
2010-01,490.160,
2010-04,328.173,
2010-07,319.693,
2010-10,193.842,
2011-01,370.242,
2011-04,578.985,
2011-07,554.858,
2011-10,113.389,
2012-01,444.099,
2012-04,406.801,
2012-07,266.217,
2012-10,411.233,
2013-01,508.167,
2013-04,600.416,
2013-07,185.561,
2013-10,261.051,
2014-01,234.613,Provisional value
2014-04,27.745,Provisional value
2014-07,431.268,Provisional value
2014-10,801.996,Provisional value
