"",BBK01.OEAA49J,BBK01.OEAA49J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:50,
2002-01,5.696,
2002-04,5.159,
2002-07,5.260,
2002-10,5.080,
2003-01,4.888,
2003-04,4.870,
2003-07,4.861,
2003-10,4.711,
2004-01,4.910,
2004-04,5.183,
2004-07,5.206,
2004-10,4.807,
2005-01,5.160,
2005-04,5.559,
2005-07,6.053,
2005-10,6.281,
2006-01,6.277,
2006-04,6.400,
2006-07,6.552,
2006-10,5.585,
2007-01,5.708,
2007-04,6.228,
2007-07,6.452,
2007-10,6.433,
2008-01,6.304,
2008-04,6.842,
2008-07,7.832,
2008-10,8.315,
2009-01,8.474,
2009-04,8.157,
2009-07,7.912,
2009-10,8.118,
2010-01,8.424,
2010-04,10.457,
2010-07,9.409,
2010-10,8.677,
2011-01,8.181,
2011-04,8.112,
2011-07,8.426,
2011-10,8.657,
2012-01,7.785,
2012-04,8.045,
2012-07,7.553,
2012-10,2.662,
2013-01,2.652,
2013-04,2.477,
2013-07,2.574,
2013-10,2.598,
2014-01,2.571,
2014-04,2.491,
2014-07,2.546,
