"",BBEX3.M.CUC.EUR.CA.AB.A01,BBEX3.M.CUC.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Cuba / EUR 1 = CUC ... (selling),
unit,CUC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:53,
2009-03,1.27161,
2009-04,1.24828,
2009-05,1.33279,
2009-06,1.34369,
2009-07,1.34751,
2009-08,1.37333,
2009-09,1.40248,
2009-10,1.41463,
2009-11,1.42495,
2009-12,1.37877,
2010-01,1.33614,
2010-02,1.29560,
2010-03,1.28097,
2010-04,1.26090,
2010-05,1.18184,
2010-06,1.16319,
2010-07,1.25019,
2010-08,1.21444,
2010-09,1.29981,
2010-10,1.32983,
2010-11,1.25038,
2010-12,1.25535,
2011-01,1.30918,
2011-02,1.31262,
2011-03,1.45232,
2011-04,1.53131,
2011-05,1.47380,
2011-06,1.48381,
2011-07,1.47514,
2011-08,1.48773,
2011-09,1.40772,
2011-10,1.46130,
2011-11,1.37758,
2011-12,1.34094,
2012-01,1.35319,
2012-02,1.38496,
2012-03,1.37071,
2012-04,1.36764,
2012-05,1.28228,
2012-06,1.28438,
2012-07,1.26539,
2012-08,1.29670,
2012-09,1.32920,
2012-10,1.33921,
2012-11,1.34256,
2012-12,1.37018,
2013-01,1.39963,
2013-02,1.35191,
2013-03,1.31827,
2013-04,1.35148,
2013-05,1.34521,
2013-06,1.34487,
2013-07,1.37063,
2013-08,1.36739,
2013-09,1.39953,
2013-10,1.42203,
2013-11,1.40483,
2013-12,1.42480,
2014-01,1.40226,
2014-02,1.41274,
2014-03,1.42116,
2014-04,1.42705,
2014-05,1.40413,
2014-06,1.40768,
2014-07,1.38126,
2014-08,1.35894,
2014-09,1.31183,
2014-10,1.30227,
2014-11,1.28958,
2014-12,1.25676,
2015-01,1.16973,
"","General: The ISO code CUC was introduced on 1 March 2009.   Alongside the convertible peso (CUC), which is primarily used by foreigners, there is the Cuban peso (CUP), which is used by residents to purchase their basic needs, among other things.   Foreign currencies can be freely exchanged in Cuba for convertible pesos (CUC), and they enable both residentsand foreigners to purchase items which the government considers to be luxury articles.   In its national accounts, the Cuban government fixes the ratio of convertible peso (CUC) to Cuban peso (CUP) at 1:1. In reality, Cuban pesos can only be exchanged for convertible pesos at a considerable discount.",
"","Source: Banco Metropolitano, Havana.",
