"",BBK01.OEAC19P,BBK01.OEAC19P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:42,
2002-01,0.154,
2002-04,0.150,
2002-07,0.131,
2002-10,0.114,
2003-01,0.127,
2003-04,0.126,
2003-07,0.107,
2003-10,0.094,
2004-01,0.108,
2004-04,0.107,
2004-07,0.098,
2004-10,0.090,
2005-01,0.105,
2005-04,0.105,
2005-07,0.094,
2005-10,0.079,
2006-01,0.090,
2006-04,0.097,
2006-07,0.091,
2006-10,0.073,
2007-01,0.097,
2007-04,0.095,
2007-07,0.092,
2007-10,0.076,
2008-01,0.095,
2008-04,0.090,
2008-07,0.088,
2008-10,0.075,
2009-01,0.154,
2009-04,0.154,
2009-07,0.147,
2009-10,0.139,
2010-01,0.157,
2010-04,0.132,
2010-07,0.123,
2010-10,0.104,
2011-01,0.116,
2011-04,0.113,
2011-07,0.119,
2011-10,0.084,
2012-01,0.127,
2012-04,0.136,
2012-07,0.136,
2012-10,0.107,
2013-01,0.138,
2013-04,0.159,
2013-07,0.167,
2013-10,0.157,
2014-01,0.161,
2014-04,0.167,
2014-07,0.165,
