"",BBFB1.Q.N.DE.F1.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:56,
1991-01,133.280,
1991-04,375.886,
1991-07,392.787,
1991-10,307.412,
1992-01,428.807,
1992-04,550.211,
1992-07,-326.361,
1992-10,145.904,
1993-01,136.661,
1993-04,-108.217,
1993-07,-186.377,
1993-10,670.141,
1994-01,219.781,
1994-04,-93.381,
1994-07,110.495,
1994-10,-29.807,
1995-01,558.701,
1995-04,-111.016,
1995-07,134.967,
1995-10,755.180,
1996-01,-352.448,
1996-04,17.989,
1996-07,132.430,
1996-10,569.959,
1997-01,-171.036,
1997-04,690.031,
1997-07,15.070,
1997-10,514.712,
1998-01,552.822,
1998-04,536.100,
1998-07,137.517,
1998-10,475.329,
1999-01,260.424,
1999-04,456.091,
1999-07,113.154,
1999-10,-28.561,
2000-01,731.897,
2000-04,-361.496,
2000-07,1378.407,
2000-10,641.489,
2001-01,-451.273,
2001-04,1498.030,
2001-07,692.214,
2001-10,-1381.089,
2002-01,-359.849,
2002-04,881.461,
2002-07,-429.058,
2002-10,-53.833,
2003-01,-629.559,
2003-04,792.582,
2003-07,-555.281,
2003-10,392.346,
2004-01,74.747,
2004-04,940.522,
2004-07,-406.189,
2004-10,451.935,
2005-01,-481.332,
2005-04,142.221,
2005-07,-47.543,
2005-10,-393.112,
2006-01,936.988,
2006-04,-306.885,
2006-07,-241.127,
2006-10,-211.572,
2007-01,888.978,
2007-04,2270.213,
2007-07,1718.038,
2007-10,993.944,
2008-01,732.714,
2008-04,148.713,
2008-07,421.672,
2008-10,-122.622,
2009-01,-78.856,
2009-04,-410.501,
2009-07,1171.700,
2009-10,1136.156,
2010-01,270.171,
2010-04,905.704,
2010-07,836.966,
2010-10,-394.814,
2011-01,847.404,
2011-04,176.577,
2011-07,347.867,
2011-10,-10.729,
2012-01,263.019,
2012-04,-1087.586,
2012-07,-423.739,
2012-10,26.095,
2013-01,568.770,
2013-04,-61.459,
2013-07,1113.297,
2013-10,264.966,
2014-01,214.599,Provisional value
2014-04,938.378,Provisional value
2014-07,981.536,Provisional value
2014-10,1766.222,Provisional value
