"",BBFB1.Q.N.DE.W1.S121.S1.T.A.FA.R.F._Z.X1._X.N,BBFB1.Q.N.DE.W1.S121.S1.T.A.FA.R.F._Z.X1._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Reserve assets / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:07,
1991-01,-4554.829,
1991-04,-1210.357,
1991-07,575.570,
1991-10,278.701,
1992-01,1476.800,
1992-04,-70.442,
1992-07,41813.635,
1992-10,-16178.766,
1993-01,-18547.349,
1993-04,-1420.068,
1993-07,13096.757,
1993-10,-4784.372,
1994-01,-3.432,
1994-04,1961.837,
1994-07,1123.769,
1994-10,-4537.463,
1995-01,1371.582,
1995-04,2139.050,
1995-07,1160.264,
1995-10,623.381,
1996-01,830.563,
1996-04,-284.088,
1996-07,-225.925,
1996-10,-1282.927,
1997-01,-933.449,
1997-04,14.192,
1997-07,-3068.501,
1997-10,592.640,
1998-01,1294.036,
1998-04,1124.329,
1998-07,579.861,
1998-10,646.039,
1999-01,-13336.100,
1999-04,295.135,
1999-07,415.170,
1999-10,90.455,
2000-01,751.111,
2000-04,-2388.269,
2000-07,-2154.724,
2000-10,-2051.681,
2001-01,-4072.368,
2001-04,-2039.084,
2001-07,2164.540,
2001-10,-2084.910,
2002-01,1352.181,
2002-04,-2432.474,
2002-07,-86.730,
2002-10,-898.218,
2003-01,1495.357,
2003-04,-1504.939,
2003-07,750.958,
2003-10,-1185.980,
2004-01,-205.230,
2004-04,339.246,
2004-07,-1567.785,
2004-10,-36.543,
2005-01,181.148,
2005-04,-1230.019,
2005-07,782.789,
2005-10,-1916.037,
2006-01,-1081.935,
2006-04,-366.546,
2006-07,-844.332,
2006-10,-641.551,
2007-01,-99.845,
2007-04,1358.645,
2007-07,346.936,
2007-10,-652.531,
2008-01,1164.835,
2008-04,889.352,
2008-07,-1629.928,
2008-10,1583.971,
2009-01,-321.328,
2009-04,-40.814,
2009-07,-2268.712,
2009-10,-568.823,
2010-01,650.575,
2010-04,801.195,
2010-07,-344.021,
2010-10,505.713,
2011-01,1392.786,
2011-04,437.643,
2011-07,639.175,
2011-10,365.980,
2012-01,962.685,
2012-04,768.545,
2012-07,59.303,
2012-10,-493.658,
2013-01,86.176,
2013-04,71.620,
2013-07,-784.500,
2013-10,1464.221,
2014-01,-564.516,
2014-04,-609.789,
2014-07,331.548,
