"",BBDE1.M.DE.Y.FG30.A2P200000.F.N.I10.A,BBDE1.M.DE.Y.FG30.A2P200000.F.N.I10.A_FLAGS
"",,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-17 08:12:07,
1991-01,132.1,
1991-02,135.6,
1991-03,135.3,
1991-04,137.9,
1991-05,142.1,
1991-06,140.4,
1991-07,138.9,
1991-08,140.7,
1991-09,140.1,
1991-10,136.6,
1991-11,133.7,
1991-12,136.7,
1992-01,135.6,
1992-02,136.1,
1992-03,137.7,
1992-04,137.8,
1992-05,138.1,
1992-06,141.2,
1992-07,146.8,
1992-08,143.6,
1992-09,142.0,
1992-10,143.5,
1992-11,144.4,
1992-12,141.7,
1993-01,145.7,
1993-02,144.6,
1993-03,143.6,
1993-04,144.2,
1993-05,144.9,
1993-06,145.6,
1993-07,148.5,
1993-08,142.0,
1993-09,142.8,
1993-10,143.7,
1993-11,142.9,
1993-12,140.5,
1994-01,143.8,
1994-02,139.4,
1994-03,140.1,
1994-04,135.8,
1994-05,135.8,
1994-06,135.9,
1994-07,134.8,
1994-08,136.4,
1994-09,132.9,
1994-10,131.3,
1994-11,127.4,
1994-12,132.4,
1995-01,130.6,
1995-02,126.5,
1995-03,131.3,
1995-04,131.9,
1995-05,128.6,
1995-06,129.1,
1995-07,132.1,
1995-08,132.2,
1995-09,130.2,
1995-10,133.6,
1995-11,133.5,
1995-12,132.6,
1996-01,134.4,
1996-02,136.5,
1996-03,132.3,
1996-04,130.5,
1996-05,129.8,
1996-06,129.7,
1996-07,130.3,
1996-08,130.0,
1996-09,127.3,
1996-10,127.3,
1996-11,125.6,
1996-12,124.9,
1997-01,126.9,
1997-02,127.1,
1997-03,122.9,
1997-04,124.4,
1997-05,122.8,
1997-06,120.7,
1997-07,118.4,
1997-08,120.9,
1997-09,119.1,
1997-10,119.5,
1997-11,118.9,
1997-12,116.8,
1998-01,119.1,
1998-02,118.6,
1998-03,116.4,
1998-04,119.1,
1998-05,118.2,
1998-06,117.9,
1998-07,117.5,
1998-08,120.0,
1998-09,120.7,
1998-10,121.0,
1998-11,123.2,
1998-12,123.8,
1999-01,119.9,
1999-02,123.1,
1999-03,120.7,
1999-04,122.9,
1999-05,121.3,
1999-06,118.1,
1999-07,117.9,
1999-08,116.5,
1999-09,115.1,
1999-10,116.3,
1999-11,115.6,
1999-12,113.6,
2000-01,116.3,
2000-02,114.8,
2000-03,112.4,
2000-04,113.1,
2000-05,112.5,
2000-06,109.5,
2000-07,109.5,
2000-08,108.1,
2000-09,108.8,
2000-10,108.6,
2000-11,108.8,
2000-12,108.7,
2001-01,111.1,
2001-02,107.6,
2001-03,109.3,
2001-04,110.5,
2001-05,110.8,
2001-06,109.4,
2001-07,111.9,
2001-08,109.0,
2001-09,110.1,
2001-10,112.8,
2001-11,113.9,
2001-12,113.7,
2002-01,111.6,
2002-02,111.4,
2002-03,111.4,
2002-04,111.5,
2002-05,112.5,
2002-06,113.2,
2002-07,113.8,
2002-08,109.9,
2002-09,110.1,
2002-10,111.7,
2002-11,110.7,
2002-12,110.4,
2003-01,111.5,
2003-02,111.7,
2003-03,110.5,
2003-04,111.5,
2003-05,113.4,
2003-06,113.7,
2003-07,110.0,
2003-08,114.2,
2003-09,113.4,
2003-10,110.7,
2003-11,110.4,
2003-12,106.6,
2004-01,111.6,
2004-02,108.9,
2004-03,109.8,
2004-04,106.7,
2004-05,106.3,
2004-06,105.2,
2004-07,103.7,
2004-08,106.0,
2004-09,105.1,
2004-10,105.8,
2004-11,105.7,
2004-12,103.8,
2005-01,103.0,
2005-02,105.3,
2005-03,104.2,
2005-04,104.0,
2005-05,102.8,
2005-06,101.7,
2005-07,101.2,
2005-08,100.8,
2005-09,98.3,
2005-10,99.5,
2005-11,98.9,
2005-12,98.8,
2006-01,100.2,
2006-02,97.7,
2006-03,98.7,
2006-04,94.6,
2006-05,95.4,
2006-06,96.4,
2006-07,95.7,
2006-08,94.2,
2006-09,96.4,
2006-10,92.9,
2006-11,92.5,
2006-12,93.3,
2007-01,92.9,
2007-02,92.3,
2007-03,92.3,
2007-04,93.3,
2007-05,93.1,
2007-06,93.7,
2007-07,93.4,
2007-08,92.9,
2007-09,91.4,
2007-10,91.7,
2007-11,92.7,
2007-12,92.4,
2008-01,89.8,
2008-02,91.0,
2008-03,91.8,
2008-04,93.4,
2008-05,93.3,
2008-06,92.6,
2008-07,95.4,
2008-08,92.7,
2008-09,95.2,
2008-10,95.9,
