"",BBEX3.M.CDF.EUR.CA.AB.A01,BBEX3.M.CDF.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in the Democratic Republic of the Congo / EUR 1 = CDF ... (selling),
unit,CDF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:39,
2009-01,949.1134,
2009-02,971.6348,
2009-03,1127.0182,
2009-04,1106.4984,
2009-05,1105.2334,
2009-06,1080.0488,
2009-07,1133.6818,
2009-08,1192.2281,comment
2009-09,1271.3611,
2009-10,1325.9302,
2009-11,1376.3055,
2009-12,1312.1504,
2010-01,1319.0951,
2010-02,1256.7551,
2010-03,1227.9078,
2010-04,1204.9166,
2010-05,1131.6700,
2010-06,1136.8212,
2010-07,1199.2092,
2010-08,1171.1989,
2010-09,1253.8994,
2010-10,1288.2981,
2010-11,1232.7357,
2010-12,1226.0862,
2011-01,1288.7791,
2011-02,1299.0162,
2011-03,1320.3408,
2011-04,1390.6821,
2011-05,1349.6855,
2011-06,1342.4040,
2011-07,1339.5607,
2011-08,1354.4799,
2011-09,1283.1704,
2011-10,1329.0544,
2011-11,1207.7613,
2011-12,1197.3774,
2012-01,1222.3626,
2012-02,1263.3089,
2012-03,1248.2637,
2012-04,1238.9651,
2012-05,1172.2220,
2012-06,1167.9257,
2012-07,1140.7757,
2012-08,1177.6037,
2012-09,1202.9311,
2012-10,1216.6778,
2012-11,1216.4481,
2012-12,1235.2883,
2013-01,1262.2055,
2013-02,1227.5847,
2013-03,1196.6363,
2013-04,1226.3167,
2013-05,1214.8767,
2013-06,1218.6836,
2013-07,1238.0209,
2013-08,1236.7462,
2013-09,1274.9091,
2013-10,1304.2887,
2013-11,1285.4234,
2013-12,1291.7507,
2014-01,1280.7298,
2014-02,1299.4998,
2014-03,1296.7453,
2014-04,1305.9265,
2014-05,1280.3965,
2014-06,1286.2097,
2014-07,1260.3674,
2014-08,1246.3925,
2014-09,1197.5450,
2014-10,1193.0599,
2014-11,1177.9562,
2014-12,1150.3587,
2015-01,1065.3925,
2015-02,1071.4701,
"","General: Until December 2008, only indicative rates (middle rates) were available; see BBEX3:M:CDF:EUR:CA:AC:A01.",
"","Source: Banque Centrale du Congo, Kinshasa",
"",Comment on 2009-08: Exchange rate as of 7 September 2009.,
