"",BBFB1.Q.N.DE.TW.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.TW.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:29,
1991-01,-110.016,
1991-04,91.336,
1991-07,442.074,
1991-10,177.933,
1992-01,535.225,
1992-04,-256.065,
1992-07,306.275,
1992-10,-157.467,
1993-01,306.444,
1993-04,261.876,
1993-07,914.288,
1993-10,292.750,
1994-01,400.791,
1994-04,47.290,
1994-07,4.972,
1994-10,17.593,
1995-01,652.538,
1995-04,1218.968,
1995-07,-226.389,
1995-10,198.390,
1996-01,-801.358,
1996-04,-135.791,
1996-07,310.777,
1996-10,-28.236,
1997-01,-12.297,
1997-04,105.220,
1997-07,-197.481,
1997-10,492.849,
1998-01,261.147,
1998-04,846.760,
1998-07,731.176,
1998-10,944.399,
1999-01,146.985,
1999-04,-382.213,
1999-07,-118.647,
1999-10,463.068,
2000-01,663.768,
2000-04,-4.383,
2000-07,-458.880,
2000-10,-1544.824,
2001-01,41.088,
2001-04,89.864,
2001-07,-207.013,
2001-10,1632.058,
2002-01,-49.750,
2002-04,352.127,
2002-07,507.236,
2002-10,-894.655,
2003-01,164.544,
2003-04,-564.162,
2003-07,-268.243,
2003-10,-261.219,
2004-01,1554.216,
2004-04,616.098,
2004-07,338.084,
2004-10,135.394,
2005-01,458.687,
2005-04,530.357,
2005-07,93.989,
2005-10,287.863,
2006-01,120.655,
2006-04,21.601,
2006-07,456.364,
2006-10,198.980,
2007-01,183.455,
2007-04,443.404,
2007-07,-1172.918,
2007-10,397.580,
2008-01,358.454,
2008-04,-459.539,
2008-07,-10.105,
2008-10,661.724,
2009-01,741.960,
2009-04,1679.922,
2009-07,1728.982,
2009-10,1509.898,
2010-01,2068.177,
2010-04,1255.231,
2010-07,432.515,
2010-10,2024.736,
2011-01,1651.352,
2011-04,723.680,
2011-07,536.451,
2011-10,435.463,
2012-01,575.710,
2012-04,-832.487,
2012-07,-504.519,
2012-10,361.401,
2013-01,365.326,
2013-04,1705.473,
2013-07,-93.780,
2013-10,180.498,
2014-01,-555.332,Provisional value
2014-04,345.875,Provisional value
2014-07,-2915.242,Provisional value
2014-10,-930.147,Provisional value
