"",BBK01.OEYL04H,BBK01.OEYL04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:14,
2002-01,0.210,
2002-04,0.196,
2002-07,0.187,
2002-10,0.173,
2003-01,0.212,
2003-04,0.167,
2003-07,0.160,
2003-10,0.156,
2004-01,0.166,
2004-04,0.134,
2004-07,0.142,
2004-10,0.258,
2005-01,0.135,
2005-04,0.145,
2005-07,0.142,
2005-10,0.141,
2006-01,0.138,
2006-04,0.143,
2006-07,0.140,
2006-10,0.154,
2007-01,0.157,
2007-04,0.189,
2007-07,0.260,
2007-10,0.321,
2008-01,0.406,
2008-04,0.512,
2008-07,0.495,
2008-10,0.351,
2009-01,0.218,
2009-04,0.156,
2009-07,0.139,
2009-10,0.124,
2010-01,0.136,
2010-04,0.346,
2010-07,0.381,
2010-10,0.376,
2011-01,0.346,
2011-04,0.170,
2011-07,0.181,
2011-10,0.175,
2012-01,0.164,
2012-04,0.132,
2012-07,0.121,
2012-10,0.106,
2013-01,0.084,
2013-04,0.115,
2013-07,0.189,
2013-10,0.309,
2014-01,0.523,
2014-04,0.618,
2014-07,0.578,
