"",BBK01.OEYL04Q,BBK01.OEYL04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:17,
2002-01,0.035,
2002-04,0.033,
2002-07,0.027,
2002-10,0.028,
2003-01,0.029,
2003-04,0.024,
2003-07,0.106,
2003-10,0.017,
2004-01,0.016,
2004-04,0.003,
2004-07,0.002,
2004-10,0.027,
2005-01,0.029,
2005-04,0.036,
2005-07,0.023,
2005-10,0.027,
2006-01,0.049,
2006-04,0.066,
2006-07,0.070,
2006-10,0.079,
2007-01,0.120,
2007-04,0.117,
2007-07,0.137,
2007-10,0.285,
2008-01,0.223,
2008-04,0.299,
2008-07,0.357,
2008-10,0.284,
2009-01,0.103,
2009-04,0.090,
2009-07,0.072,
2009-10,0.073,
2010-01,0.130,
2010-04,0.153,
2010-07,0.124,
2010-10,0.126,
2011-01,0.093,
2011-04,0.128,
2011-07,0.157,
2011-10,0.094,
2012-01,0.126,
2012-04,0.151,
2012-07,0.337,
2012-10,0.422,
2013-01,0.242,
2013-04,0.518,
2013-07,0.620,
2013-10,0.977,
2014-01,0.938,
2014-04,1.099,
2014-07,1.143,
