"",BBK01.OUP244,BBK01.OUP244_FLAGS
"",Deposits and borrowing (excl. savings deposits and bank savings bonds) / Domestic self-employed persons / Time deposits / for more than 2 years / Foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:33:20,
1999-01,0.047,
1999-02,0.048,
1999-03,0.052,
1999-04,0.053,
1999-05,0.053,
1999-06,0.052,
1999-07,0.054,
1999-08,0.052,
1999-09,0.052,
1999-10,0.052,
1999-11,0.052,
1999-12,0.057,
2000-01,0.057,
2000-02,0.051,
2000-03,0.057,
2000-04,0.056,
2000-05,0.053,
2000-06,0.055,
2000-07,0.052,
2000-08,0.053,
2000-09,0.052,
2000-10,0.052,
2000-11,0.052,
2000-12,0.052,
2001-01,0.052,
2001-02,0.051,
2001-03,0.051,
2001-04,0.052,
2001-05,0.052,
2001-06,0.054,
2001-07,0.056,
2001-08,0.054,
2001-09,0.053,
2001-10,0.054,
2001-11,0.051,
2001-12,0.051,
2002-01,0.050,
2002-02,0.051,
2002-03,0.049,
2002-04,0.050,
2002-05,0.058,
2002-06,0.054,
2002-07,0.056,
2002-08,0.058,
2002-09,0.061,
2002-10,0.065,
2002-11,0.020,
2002-12,0.024,
2003-01,0.029,
2003-02,0.030,
2003-03,0.030,
2003-04,0.031,
2003-05,0.031,
2003-06,0.031,
2003-07,0.031,
2003-08,0.034,
2003-09,0.034,
2003-10,0.057,
2003-11,0.030,
2003-12,0.031,
2004-01,0.036,
2004-02,0.016,
2004-03,0.015,
2004-04,0.013,
2004-05,0.015,
2004-06,0.016,
2004-07,0.015,
2004-08,0.021,
2004-09,0.019,
2004-10,0.020,
2004-11,0.020,
2004-12,0.020,
2005-01,0.021,
2005-02,0.020,
2005-03,0.018,
2005-04,0.018,
2005-05,0.018,
2005-06,0.027,
2005-07,0.030,
2005-08,0.029,
2005-09,0.029,
2005-10,0.030,
2005-11,0.029,
2005-12,0.048,
2006-01,0.046,
2006-02,0.045,
2006-03,0.048,
2006-04,0.054,
2006-05,0.052,
2006-06,0.054,
2006-07,0.044,
2006-08,0.045,
2006-09,0.077,
2006-10,0.045,
2006-11,0.040,
2006-12,0.044,
2007-01,0.037,
2007-02,0.038,
2007-03,0.038,
2007-04,0.037,
2007-05,0.037,
2007-06,0.038,
2007-07,0.060,
2007-08,0.067,
2007-09,0.045,
2007-10,0.045,
2007-11,0.045,
2007-12,0.044,
2008-01,0.045,
2008-02,0.042,
2008-03,0.047,
2008-04,0.046,
2008-05,0.048,
2008-06,0.046,
2008-07,0.055,
2008-08,0.055,
2008-09,0.055,
2008-10,0.053,
2008-11,0.053,
2008-12,0.106,
2009-01,0.107,
2009-02,0.106,
2009-03,0.123,
2009-04,0.125,
2009-05,0.139,
2009-06,0.136,
2009-07,0.149,
2009-08,0.150,
2009-09,0.155,
2009-10,0.155,
2009-11,0.156,
2009-12,0.158,
2010-01,0.162,
2010-02,0.166,
2010-03,0.116,
2010-04,0.124,
2010-05,0.115,
2010-06,0.183,
2010-07,0.183,
2010-08,0.132,
2010-09,0.138,
2010-10,0.143,
2010-11,0.151,
2010-12,0.157,
2011-01,0.164,
2011-02,0.194,
2011-03,0.214,
2011-04,0.224,
2011-05,0.232,
2011-06,0.238,
2011-07,0.244,
2011-08,0.253,
2011-09,0.263,
2011-10,0.271,
2011-11,0.298,
2011-12,0.312,
2012-01,0.339,
2012-02,0.403,
2012-03,0.442,
2012-04,0.492,
2012-05,0.515,
2012-06,0.529,
2012-07,0.541,
2012-08,0.543,
2012-09,0.573,
2012-10,0.589,
2012-11,0.601,
2012-12,0.607,
2013-01,0.633,
2013-02,0.649,
2013-03,0.648,
2013-04,0.644,
2013-05,0.652,
2013-06,0.660,
2013-07,0.675,
2013-08,0.681,
2013-09,0.687,
2013-10,0.692,
2013-11,0.710,
2013-12,0.711,
2014-01,0.725,
2014-02,0.745,
2014-03,0.760,
2014-04,0.827,
2014-05,0.838,
2014-06,0.891,
2014-07,0.907,
2014-08,0.924,
2014-09,0.907,
2014-10,0.919,
2014-11,0.929,
2014-12,0.942,Provisional value
