"",BBK01.OEBO01I,BBK01.OEBO01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:01,
2002-01,5.480,
2002-04,5.311,
2002-07,4.749,
2002-10,4.702,
2003-01,4.810,
2003-04,4.659,
2003-07,3.542,
2003-10,3.605,
2004-01,3.625,
2004-04,3.523,
2004-07,3.436,
2004-10,3.502,
2005-01,6.255,
2005-04,6.221,
2005-07,6.201,
2005-10,6.131,
2006-01,6.217,
2006-04,6.146,
2006-07,6.151,
2006-10,6.616,
2007-01,6.698,
2007-04,7.207,
2007-07,7.265,
2007-10,7.392,
2008-01,7.646,
2008-04,7.681,
2008-07,7.884,
2008-10,7.956,
2009-01,8.697,
2009-04,8.784,
2009-07,8.950,
2009-10,9.272,
2010-01,9.142,
2010-04,8.808,
2010-07,8.675,
2010-10,8.624,
2011-01,8.922,
2011-04,8.995,
2011-07,8.924,
2011-10,8.908,
2012-01,8.926,
2012-04,9.125,
2012-07,8.980,
2012-10,8.824,
2013-01,8.740,
2013-04,8.519,
2013-07,8.330,
2013-10,8.170,
2014-01,8.146,
2014-04,8.049,
2014-07,7.954,
