"",BBFN1.M.DE.N.1.A.W03100.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign non-banks arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:57,
1995-01,2.328,
1995-02,2.336,
1995-03,2.307,
1995-04,2.328,
1995-05,2.385,
1995-06,2.337,
1995-07,2.333,
1995-08,2.453,
1995-09,2.485,
1995-10,2.515,
1995-11,2.512,
1995-12,2.421,
1996-01,2.479,
1996-02,2.506,
1996-03,2.532,
1996-04,2.544,
1996-05,2.573,
1996-06,2.662,
1996-07,2.654,
1996-08,2.647,
1996-09,2.644,
1996-10,2.676,
1996-11,2.747,
1996-12,2.805,
1997-01,2.876,
1997-02,2.884,
1997-03,3.037,
1997-04,3.167,
1997-05,3.268,
1997-06,3.350,
1997-07,3.546,
1997-08,3.770,
1997-09,3.847,
1997-10,3.960,
1997-11,4.070,
1997-12,4.127,
1998-01,4.373,
1998-02,4.477,
1998-03,4.541,
1998-04,4.535,
1998-05,4.816,
1998-06,4.858,
1998-07,4.904,
1998-08,5.021,
1998-09,5.187,
1998-10,5.220,
1998-11,5.153,
1998-12,5.194,
1999-01,5.243,
1999-02,5.255,
1999-03,5.282,
1999-04,5.378,
1999-05,5.447,
1999-06,5.490,
1999-07,5.535,
1999-08,5.644,
1999-09,5.648,
1999-10,5.756,
1999-11,5.841,
1999-12,5.902,
2000-01,5.864,
2000-02,5.873,
2000-03,5.615,
2000-04,5.596,
2000-05,5.640,
2000-06,5.706,
2000-07,5.707,
2000-08,5.758,
2000-09,5.794,
2000-10,5.890,
2000-11,6.058,
2000-12,5.916,
2001-01,6.075,
2001-02,6.086,
2001-03,6.267,
2001-04,6.423,
2001-05,6.394,
2001-06,6.262,
2001-07,6.353,
2001-08,6.463,
2001-09,6.593,
2001-10,6.653,
2001-11,6.011,
2001-12,6.113,
2002-01,6.138,
2002-02,6.114,
2002-03,5.972,
2002-04,5.934,
2002-05,6.014,
2002-06,6.074,
2002-07,6.131,
2002-08,6.137,
2002-09,6.102,
2002-10,6.099,
2002-11,6.057,
2002-12,5.829,
2003-01,5.774,
2003-02,5.794,
2003-03,5.716,
2003-04,5.636,
2003-05,5.731,
2003-06,5.689,
2003-07,6.029,
2003-08,5.906,
2003-09,5.682,
2003-10,5.742,
2003-11,5.731,
2003-12,5.422,
2004-01,5.264,
2004-02,5.229,
2004-03,5.115,
2004-04,5.102,
2004-05,3.397,
2004-06,3.398,
2004-07,3.369,
2004-08,3.349,
2004-09,3.398,
2004-10,3.321,
2004-11,3.349,
2004-12,3.308,
2005-01,3.366,
2005-02,3.368,
2005-03,3.458,
2005-04,3.555,
2005-05,3.584,
2005-06,3.679,
2005-07,3.692,
2005-08,3.737,
2005-09,3.806,
2005-10,3.892,
2005-11,3.894,
2005-12,3.935,
2006-01,3.898,
2006-02,3.864,
2006-03,3.894,
2006-04,4.024,
2006-05,4.201,
2006-06,4.775,
2006-07,4.904,
2006-08,5.084,
2006-09,5.228,
2006-10,5.430,
2006-11,5.494,
2006-12,5.149,
2007-01,4.784,
2007-02,4.828,
2007-03,4.872,
2007-04,4.990,
2007-05,5.219,
2007-06,5.235,
2007-07,5.145,
2007-08,5.263,
2007-09,5.370,
2007-10,5.345,
2007-11,5.401,
2007-12,6.038,
2008-01,6.034,
2008-02,6.059,
2008-03,6.171,
2008-04,6.370,
2008-05,6.607,
2008-06,6.704,
2008-07,6.532,
2008-08,6.602,
2008-09,6.737,
2008-10,7.021,
2008-11,7.253,
2008-12,7.095,
2009-01,7.309,
2009-02,7.571,
2009-03,7.772,
2009-04,7.893,
2009-05,8.020,
2009-06,8.052,
2009-07,7.974,
2009-08,8.181,
2009-09,8.202,
2009-10,8.233,
2009-11,8.446,
2009-12,8.499,
2010-01,8.815,
2010-02,9.086,
2010-03,9.268,
2010-04,9.390,
2010-05,9.658,
2010-06,9.804,
2010-07,10.006,
2010-08,10.022,
2010-09,9.400,
2010-10,9.780,
2010-11,10.006,
2010-12,10.229,
2011-01,10.388,
2011-02,10.457,
2011-03,10.715,
2011-04,10.769,
2011-05,11.244,
2011-06,11.439,
2011-07,11.698,
2011-08,11.857,
2011-09,12.340,
2011-10,12.498,
2011-11,12.515,
2011-12,12.644,
2012-01,12.830,
2012-02,12.871,
2012-03,12.781,
2012-04,13.176,
2012-05,13.534,
2012-06,13.575,
2012-07,14.072,
2012-08,13.910,
2012-09,13.829,
2012-10,14.025,
2012-11,14.043,
2012-12,14.065,
2013-01,13.978,
2013-02,14.364,
2013-03,14.747,
2013-04,14.625,
2013-05,14.554,
2013-06,14.427,
2013-07,14.290,
2013-08,14.385,
2013-09,13.163,
2013-10,13.197,
2013-11,13.185,
2013-12,12.907,
2014-01,12.989,
2014-02,12.922,
2014-03,12.924,
2014-04,14.912,
2014-05,12.939,
2014-06,12.984,
2014-07,13.132,
2014-08,13.286,
2014-09,13.471,
2014-10,14.609,
2014-11,14.423,
2014-12,14.564,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
