"",BBK01.OEAC06G,BBK01.OEAC06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:04,
2002-01,3.993,
2002-04,4.040,
2002-07,4.065,
2002-10,4.047,
2003-01,4.017,
2003-04,4.013,
2003-07,4.036,
2003-10,4.015,
2004-01,3.980,
2004-04,3.975,
2004-07,4.026,
2004-10,3.983,
2005-01,3.902,
2005-04,3.937,
2005-07,4.007,
2005-10,4.030,
2006-01,4.060,
2006-04,4.074,
2006-07,4.099,
2006-10,4.107,
2007-01,4.078,
2007-04,4.143,
2007-07,4.146,
2007-10,4.172,
2008-01,4.122,
2008-04,4.194,
2008-07,4.278,
2008-10,4.244,
2009-01,4.039,
2009-04,4.014,
2009-07,4.101,
2009-10,4.156,
2010-01,4.196,
2010-04,4.407,
2010-07,4.428,
2010-10,4.416,
2011-01,4.373,
2011-04,4.414,
2011-07,4.425,
2011-10,4.427,
2012-01,4.424,
2012-04,4.469,
2012-07,4.502,
2012-10,4.473,
2013-01,4.452,
2013-04,4.498,
2013-07,4.514,
2013-10,4.433,
2014-01,4.507,
2014-04,4.532,
2014-07,4.557,
