"",BBK01.OEAC13U,BBK01.OEAC13U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:00,
2002-01,2.089,
2002-04,2.115,
2002-07,2.126,
2002-10,2.134,
2003-01,2.133,
2003-04,2.101,
2003-07,1.849,
2003-10,1.820,
2004-01,1.703,
2004-04,1.649,
2004-07,1.611,
2004-10,1.640,
2005-01,1.583,
2005-04,1.538,
2005-07,1.537,
2005-10,1.525,
2006-01,1.511,
2006-04,1.471,
2006-07,1.471,
2006-10,1.464,
2007-01,1.456,
2007-04,1.435,
2007-07,1.467,
2007-10,1.424,
2008-01,1.350,
2008-04,1.370,
2008-07,1.414,
2008-10,1.432,
2009-01,1.402,
2009-04,1.376,
2009-07,1.396,
2009-10,1.392,
2010-01,1.338,
2010-04,1.335,
2010-07,1.362,
2010-10,1.331,
2011-01,1.326,
2011-04,1.329,
2011-07,1.305,
2011-10,1.274,
2012-01,1.263,
2012-04,1.285,
2012-07,1.289,
2012-10,1.256,
2013-01,1.271,
2013-04,1.253,
2013-07,1.255,
2013-10,1.257,
2014-01,1.264,
2014-04,1.267,
2014-07,1.203,
