"",BBK01.OEAC43O,BBK01.OEAC43O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:08,
2002-01,0.677,
2002-04,0.671,
2002-07,0.676,
2002-10,0.675,
2003-01,0.663,
2003-04,0.701,
2003-07,0.672,
2003-10,0.647,
2004-01,0.627,
2004-04,0.666,
2004-07,0.646,
2004-10,0.616,
2005-01,0.565,
2005-04,0.537,
2005-07,0.459,
2005-10,0.420,
2006-01,0.401,
2006-04,0.383,
2006-07,0.399,
2006-10,0.403,
2007-01,0.394,
2007-04,0.404,
2007-07,0.375,
2007-10,0.352,
2008-01,0.346,
2008-04,0.330,
2008-07,0.318,
2008-10,0.328,
2009-01,0.326,
2009-04,0.335,
2009-07,0.338,
2009-10,0.353,
2010-01,0.355,
2010-04,0.401,
2010-07,0.397,
2010-10,0.409,
2011-01,0.402,
2011-04,0.415,
2011-07,0.427,
2011-10,0.426,
2012-01,0.435,
2012-04,0.461,
2012-07,0.456,
2012-10,0.459,
2013-01,0.432,
2013-04,0.395,
2013-07,0.483,
2013-10,0.473,
2014-01,0.469,
2014-04,0.500,
2014-07,0.509,
