"",BBK01.OEXK04O,BBK01.OEXK04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:20,
2002-01,-0.085,
2002-04,-0.076,
2002-07,-0.098,
2002-10,-0.059,
2003-01,-0.054,
2003-04,-0.049,
2003-07,-0.048,
2003-10,-0.046,
2004-01,-0.047,
2004-04,-0.042,
2004-07,-0.041,
2004-10,-0.047,
2005-01,0.009,
2005-04,0.009,
2005-07,0.010,
2005-10,0.039,
2006-01,0.039,
2006-04,0.040,
2006-07,0.044,
2006-10,0.047,
2007-01,0.046,
2007-04,0.044,
2007-07,0.043,
2007-10,0.026,
2008-01,0.027,
2008-04,0.033,
2008-07,0.029,
2008-10,0.018,
2009-01,0.010,
2009-04,0.008,
2009-07,0.005,
2009-10,0.003,
2010-01,0.004,
2010-04,0.058,
2010-07,0.003,
2010-10,0.003,
2011-01,0.008,
2011-04,0.009,
2011-07,0.020,
2011-10,0.013,
2012-01,0.011,
2012-04,0.006,
2012-07,0.007,
2012-10,0.006,
2013-01,0.005,
2013-04,0.005,
2013-07,0.004,
2013-10,0.003,
2014-01,0.004,
2014-04,0.002,
2014-07,0.002,
