"",BBK01.OEBJ10H,BBK01.OEBJ10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:04,
2002-01,0.444,
2002-04,0.450,
2002-07,0.445,
2002-10,0.435,
2003-01,0.427,
2003-04,0.326,
2003-07,0.326,
2003-10,0.316,
2004-01,0.301,
2004-04,0.277,
2004-07,0.267,
2004-10,0.260,
2005-01,0.255,
2005-04,0.237,
2005-07,0.231,
2005-10,0.764,
2006-01,0.214,
2006-04,0.208,
2006-07,0.199,
2006-10,0.189,
2007-01,0.180,
2007-04,0.177,
2007-07,0.167,
2007-10,0.160,
2008-01,0.153,
2008-04,0.146,
2008-07,0.138,
2008-10,0.132,
2009-01,0.128,
2009-04,0.120,
2009-07,0.112,
2009-10,0.104,
2010-01,0.120,
2010-04,0.117,
2010-07,0.111,
2010-10,0.107,
2011-01,0.103,
2011-04,0.038,
2011-07,0.038,
2011-10,0.039,
2012-01,0.038,
2012-04,0.039,
2012-07,0.039,
2012-10,0.039,
2013-01,0.039,
2013-04,0.040,
2013-07,0.040,
2013-10,0.040,
2014-01,0.040,
2014-04,0.041,
2014-07,0.004,
