"",BBFB1.Q.N.DE.CN.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:00,
1991-01,10.737,
1991-04,11.019,
1991-07,11.145,
1991-10,11.277,
1992-01,13.237,
1992-04,14.882,
1992-07,14.152,
1992-10,12.604,
1993-01,9.937,
1993-04,8.336,
1993-07,9.933,
1993-10,10.361,
1994-01,13.052,
1994-04,14.628,
1994-07,12.257,
1994-10,12.368,
1995-01,11.830,
1995-04,11.022,
1995-07,10.455,
1995-10,12.696,
1996-01,9.416,
1996-04,8.587,
1996-07,11.240,
1996-10,18.732,
1997-01,19.278,
1997-04,20.871,
1997-07,17.970,
1997-10,17.323,
1998-01,22.100,
1998-04,21.108,
1998-07,23.761,
1998-10,22.388,
1999-01,28.551,
1999-04,33.812,
1999-07,35.542,
1999-10,44.036,
2000-01,49.768,
2000-04,54.306,
2000-07,52.281,
2000-10,49.846,
2001-01,53.374,
2001-04,53.851,
2001-07,55.299,
2001-10,55.552,
2002-01,60.263,
2002-04,54.320,
2002-07,45.471,
2002-10,35.263,
2003-01,27.825,
2003-04,30.395,
2003-07,29.240,
2003-10,34.389,
2004-01,35.620,
2004-04,35.930,
2004-07,34.379,
2004-10,36.217,
2005-01,30.787,
2005-04,35.646,
2005-07,40.044,
2005-10,47.632,
2006-01,69.345,
2006-04,79.755,
2006-07,82.778,
2006-10,80.682,
2007-01,79.968,
2007-04,66.130,
2007-07,51.914,
2007-10,54.823,
2008-01,49.311,
2008-04,80.465,
2008-07,98.601,
2008-10,88.337,
2009-01,66.661,
2009-04,54.756,
2009-07,117.521,
2009-10,134.897,
2010-01,120.302,
2010-04,123.589,
2010-07,64.127,
2010-10,61.506,
2011-01,70.194,
2011-04,79.886,
2011-07,92.362,
2011-10,94.492,
2012-01,85.545,
2012-04,85.012,
2012-07,76.237,
2012-10,69.708,
2013-01,95.897,
2013-04,137.883,
2013-07,100.061,
2013-10,101.074,
2014-01,93.448,Provisional value
2014-04,132.890,Provisional value
2014-07,89.909,Provisional value
