"",BBFN1.M.DE.N.1.L.E1.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.E1.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:42,
1995-01,36.741,
1995-02,36.357,
1995-03,36.480,
1995-04,36.808,
1995-05,37.109,
1995-06,37.008,
1995-07,38.060,
1995-08,38.259,
1995-09,37.965,
1995-10,38.490,
1995-11,38.698,
1995-12,37.466,
1996-01,37.161,
1996-02,37.029,
1996-03,36.845,
1996-04,37.132,
1996-05,37.080,
1996-06,36.715,
1996-07,37.222,
1996-08,37.297,
1996-09,37.892,
1996-10,37.997,
1996-11,37.862,
1996-12,36.908,
1997-01,37.634,
1997-02,37.929,
1997-03,37.756,
1997-04,37.724,
1997-05,37.488,
1997-06,37.538,
1997-07,38.801,
1997-08,39.273,
1997-09,40.028,
1997-10,40.180,
1997-11,40.359,
1997-12,40.944,
1998-01,41.966,
1998-02,43.462,
1998-03,44.127,
1998-04,45.168,
1998-05,45.923,
1998-06,48.153,
1998-07,49.950,
1998-08,50.704,
1998-09,51.174,
1998-10,53.648,
1998-11,52.072,
1998-12,54.494,
1999-01,55.531,
1999-02,55.570,
1999-03,55.523,
1999-04,55.727,
1999-05,59.948,
1999-06,60.817,
1999-07,66.171,
1999-08,68.137,
1999-09,70.670,
1999-10,74.713,
1999-11,76.234,
1999-12,77.826,
2000-01,83.379,
2000-02,83.344,
2000-03,83.232,
2000-04,83.033,
2000-05,83.682,
2000-06,86.750,
2000-07,103.109,
2000-08,103.069,
2000-09,105.935,
2000-10,106.420,
2000-11,105.814,
2000-12,146.719,
2001-01,151.723,
2001-02,154.221,
2001-03,155.482,
2001-04,158.961,
2001-05,160.717,
2001-06,162.046,
2001-07,172.051,
2001-08,175.435,
2001-09,180.034,
2001-10,182.032,
2001-11,186.319,
2001-12,186.448,
2002-01,199.251,
2002-02,201.902,
2002-03,196.935,
2002-04,206.407,
2002-05,227.214,
2002-06,223.130,
2002-07,226.488,
2002-08,228.585,
2002-09,231.174,
2002-10,234.207,
2002-11,237.221,
2002-12,238.441,
2003-01,235.376,
2003-02,238.751,
2003-03,234.507,
2003-04,238.679,
2003-05,239.358,
2003-06,244.186,
2003-07,243.841,
2003-08,248.557,
2003-09,249.356,
2003-10,250.116,
2003-11,250.762,
2003-12,240.596,
2004-01,238.005,
2004-02,214.338,
2004-03,213.035,
2004-04,215.539,
2004-05,218.971,
2004-06,223.466,
2004-07,222.229,
2004-08,221.589,
2004-09,219.292,
2004-10,214.321,
2004-11,209.722,
2004-12,208.046,
2005-01,211.189,
2005-02,215.978,
2005-03,215.889,
2005-04,215.985,
2005-05,219.190,
2005-06,219.448,
2005-07,216.516,
2005-08,216.686,
2005-09,219.823,
2005-10,223.924,
2005-11,225.612,
2005-12,227.974,
2006-01,232.441,
2006-02,236.437,
2006-03,239.548,
2006-04,240.332,
2006-05,241.671,
2006-06,247.184,
2006-07,248.756,
2006-08,249.382,
2006-09,250.472,
2006-10,252.127,
2006-11,255.682,
2006-12,253.373,
2007-01,254.005,
2007-02,250.690,
2007-03,251.450,
2007-04,254.975,
2007-05,254.267,
2007-06,254.360,
2007-07,254.549,
2007-08,259.452,
2007-09,259.363,
2007-10,262.284,
2007-11,259.373,
2007-12,254.226,
2008-01,257.134,
2008-02,261.727,
2008-03,265.217,
2008-04,271.090,
2008-05,276.473,
2008-06,273.264,
2008-07,274.440,
2008-08,276.837,
2008-09,281.835,
2008-10,286.921,
2008-11,290.828,
2008-12,294.863,
2009-01,305.451,
2009-02,317.505,
2009-03,316.168,
2009-04,319.278,
2009-05,324.330,
2009-06,324.756,
2009-07,329.681,
2009-08,335.611,
2009-09,331.987,
2009-10,331.331,
2009-11,331.810,
2009-12,332.443,
2010-01,328.603,
2010-02,329.200,
2010-03,334.740,
2010-04,337.093,
2010-05,337.444,
2010-06,337.203,
2010-07,342.915,
2010-08,342.329,
2010-09,341.636,
2010-10,339.737,
2010-11,339.037,
2010-12,351.111,
2011-01,349.766,
2011-02,347.719,
2011-03,351.858,
2011-04,350.701,
2011-05,354.122,
2011-06,351.414,
2011-07,354.816,
2011-08,355.157,
2011-09,351.986,
2011-10,352.861,
2011-11,346.938,
2011-12,346.990,
2012-01,348.657,
2012-02,349.470,
2012-03,352.801,
2012-04,358.301,
2012-05,356.940,
2012-06,360.506,
2012-07,359.747,
2012-08,365.134,
2012-09,361.924,
2012-10,362.552,
2012-11,365.676,
2012-12,362.913,
2013-01,365.012,
2013-02,361.698,
2013-03,368.214,
2013-04,381.549,
2013-05,380.269,
2013-06,379.077,
2013-07,376.343,
2013-08,375.858,
2013-09,380.736,
2013-10,389.698,
2013-11,384.773,
2013-12,382.415,
2014-01,379.064,
2014-02,380.130,
2014-03,382.865,
2014-04,382.498,
2014-05,386.920,
2014-06,390.695,
2014-07,391.211,
2014-08,389.953,
2014-09,387.699,
2014-10,389.304,
2014-11,391.287,
2014-12,390.534,
