"",BBK01.OECL04H,BBK01.OECL04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:38,
2002-01,4.636,
2002-04,4.482,
2002-07,4.349,
2002-10,4.099,
2003-01,3.541,
2003-04,2.930,
2003-07,2.633,
2003-10,2.398,
2004-01,2.023,
2004-04,1.877,
2004-07,1.749,
2004-10,1.776,
2005-01,1.987,
2005-04,1.979,
2005-07,1.879,
2005-10,2.203,
2006-01,2.243,
2006-04,2.565,
2006-07,3.031,
2006-10,3.543,
2007-01,3.981,
2007-04,4.511,
2007-07,6.006,
2007-10,7.354,
2008-01,8.304,
2008-04,8.999,
2008-07,10.247,
2008-10,10.213,
2009-01,7.147,
2009-04,6.968,
2009-07,6.177,
2009-10,5.488,
2010-01,4.363,
2010-04,3.487,
2010-07,2.612,
2010-10,2.186,
2011-01,2.218,
2011-04,2.728,
2011-07,2.925,
2011-10,3.214,
2012-01,3.102,
2012-04,2.925,
2012-07,2.541,
2012-10,1.897,
2013-01,1.435,
2013-04,1.752,
2013-07,1.721,
2013-10,1.675,
2014-01,1.687,
2014-04,1.238,
2014-07,0.985,
