"",BBK01.OEAB24J,BBK01.OEAB24J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:57,
2002-01,0.920,
2002-04,1.038,
2002-07,1.539,
2002-10,1.513,
2003-01,1.385,
2003-04,1.348,
2003-07,1.324,
2003-10,1.302,
2004-01,1.448,
2004-04,1.462,
2004-07,1.415,
2004-10,1.374,
2005-01,1.958,
2005-04,1.898,
2005-07,1.784,
2005-10,1.742,
2006-01,1.789,
2006-04,1.725,
2006-07,1.681,
2006-10,1.660,
2007-01,1.470,
2007-04,1.341,
2007-07,1.190,
2007-10,1.108,
2008-01,1.146,
2008-04,1.147,
2008-07,1.121,
2008-10,1.077,
2009-01,1.022,
2009-04,1.067,
2009-07,1.041,
2009-10,1.014,
2010-01,1.014,
2010-04,1.082,
2010-07,1.047,
2010-10,0.978,
2011-01,0.970,
2011-04,0.967,
2011-07,0.887,
2011-10,0.867,
2012-01,0.866,
2012-04,0.925,
2012-07,0.814,
2012-10,0.261,
2013-01,0.259,
2013-04,0.258,
2013-07,0.249,
2013-10,0.245,
2014-01,0.231,
2014-04,0.230,
2014-07,0.220,
