"",BBK01.OEHB12J,BBK01.OEHB12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:32,
2002-01,2.234,
2002-04,2.252,
2002-07,2.306,
2002-10,2.378,
2003-01,2.396,
2003-04,2.454,
2003-07,2.451,
2003-10,2.510,
2004-01,2.462,
2004-04,2.503,
2004-07,2.520,
2004-10,2.601,
2005-01,2.675,
2005-04,2.699,
2005-07,2.726,
2005-10,2.801,
2006-01,2.776,
2006-04,2.809,
2006-07,2.763,
2006-10,2.847,
2007-01,2.848,
2007-04,2.911,
2007-07,2.978,
2007-10,3.003,
2008-01,2.992,
2008-04,3.071,
2008-07,3.121,
2008-10,3.257,
2009-01,3.224,
2009-04,3.333,
2009-07,3.361,
2009-10,3.482,
2010-01,3.476,
2010-04,3.487,
2010-07,3.485,
2010-10,3.569,
2011-01,3.575,
2011-04,3.673,
2011-07,3.709,
2011-10,3.787,
2012-01,3.795,
2012-04,3.881,
2012-07,3.934,
2012-10,3.876,
2013-01,3.959,
2013-04,4.073,
2013-07,4.054,
2013-10,4.117,
2014-01,4.158,
2014-04,4.214,
2014-07,4.288,
